"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","fkwaous5",2019-02-14 12:01:02,0,1,3,0,1,"[Home (dorm; apartment)]","[None of the above; Other]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Watching TV; movies]","[Text messaging on the phone;Interacting on Instagram]"
"2","fkwaous5",2019-02-14 15:02:32,0,2,1,0,2,"[Home (dorm; apartment)]","[Friends;Significant Other]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Talking in person;Other form of social interaction]"
"3","fkwaous5",2019-02-14 18:02:48,0,1,3,0,2,"[Campus]","[Friends]","[Commuting; traveling]","[Talking in person;Talking on the phone]"
"4","fkwaous5",2019-02-15 12:10:08,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"5","fkwaous5",2019-02-15 16:36:57,0,1,3,0,3,"[Campus]","[Friends]","[Attending classes; meetings]","[Talking in person]"
"6","fkwaous5",2019-02-15 18:03:51,0,0,3,0,3,"[Home (dorm; apartment)]","[Significant Other]","[Watching TV; movies]","[Talking on the phone]"
"7","fkwaous5",2019-02-16 18:14:58,0,0,3,0,4,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"8","fkwaous5",2019-02-17 11:13:50,0,0,3,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"9","fkwaous5",2019-02-17 12:04:49,1,0,3,0,1,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Talking in person]"
"10","fkwaous5",2019-02-17 16:19:46,0,0,3,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"11","fkwaous5",2019-02-18 14:58:33,0,1,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"12","fkwaous5",2019-02-18 19:02:46,0,1,3,0,4,"[Home (dorm; apartment)]","[Friends]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person]"
"13","fkwaous5",2019-02-19 09:01:59,0,1,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"14","fkwaous5",2019-02-19 12:01:40,0,1,2,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"15","fkwaous5",2019-02-20 10:24:59,0,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"16","fkwaous5",2019-02-21 07:32:52,0,1,3,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Text messaging on the phone;Interacting on Twitter]"
"17","fkwaous5",2019-02-21 09:01:05,0,1,3,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"18","fkwaous5",2019-02-21 12:54:50,0,1,3,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"19","fkwaous5",2019-02-21 15:45:47,0,1,3,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Browsing the Internet; using social media]","[Talking on the phone]"
"20","fkwaous5",2019-02-21 20:49:50,2,1,1,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"21","fkwaous5",2019-02-22 16:44:37,0,0,3,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"22","fkwaous5",2019-02-22 20:04:24,0,1,3,0,3,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"23","fkwaous5",2019-02-24 13:06:01,0,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
