"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","fqnl4pr3",2019-02-14 09:02:52,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[Text messaging on the phone;Chatting on Whatsapp or other chat app;Interacting on Instagram;Interacting on Snapchat]"
"2","fqnl4pr3",2019-02-14 12:01:37,0,0,2,0,3,"[Campus]","[Family]","[Talking; texting; socializing]","[Talking on the phone]"
"3","fqnl4pr3",2019-02-14 15:19:13,0,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"4","fqnl4pr3",2019-02-15 11:20:33,0,0,3,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking;Watching TV; movies]","[Talking in person]"
"5","fqnl4pr3",2019-02-15 14:25:27,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends]","[None of the above; Other]","[Talking in person]"
"6","fqnl4pr3",2019-02-16 09:21:46,0,0,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"7","fqnl4pr3",2019-02-16 12:01:49,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Doing household chores; running errands]","[Talking in person;Text messaging on the phone]"
"8","fqnl4pr3",2019-02-17 15:09:04,0,1,1,0,2,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"9","fqnl4pr3",2019-02-17 20:30:46,0,0,3,0,3,"[None of the above; Other]","[Friends]","[Exercising; physical activity; sports]","[Talking in person]"
"10","fqnl4pr3",2019-02-18 09:56:34,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"11","fqnl4pr3",2019-02-18 19:02:53,0,0,3,0,3,"[Gym]","[No one; alone]","[Exercising; physical activity; sports]","[Not applicable; was not interacting with anyone]"
"12","fqnl4pr3",2019-02-19 09:21:20,0,0,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"13","fqnl4pr3",2019-02-19 14:36:07,0,0,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"14","fqnl4pr3",2019-02-22 12:08:32,0,0,2,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Talking; texting; socializing;Watching TV; movies]","[Text messaging on the phone]"
"15","fqnl4pr3",2019-02-22 15:44:11,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"16","fqnl4pr3",2019-02-26 09:32:46,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Talking; texting; socializing]","[Text messaging on the phone]"
"17","fqnl4pr3",2019-02-26 13:59:27,0,0,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"18","fqnl4pr3",2019-02-27 14:46:31,0,0,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"19","fqnl4pr3",2019-02-27 18:33:37,0,0,2,0,2,"[Store / Mall]","[Friends]","[Talking; texting; socializing;None of the above; Other]","[Talking in person]"
"20","fqnl4pr3",2019-02-28 19:53:54,0,0,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[Talking in person;Text messaging on the phone]"
"21","fqnl4pr3",2019-03-01 10:16:38,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"22","fqnl4pr3",2019-03-02 11:54:26,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Watching TV; movies]","[Text messaging on the phone]"
"23","fqnl4pr3",2019-03-02 15:21:53,0,0,2,0,3,"[Gym]","[No one; alone]","[Exercising; physical activity; sports]","[Not applicable; was not interacting with anyone]"
"24","fqnl4pr3",2019-03-03 12:57:51,0,0,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking;Studying; reading; preparing for an exam;Watching TV; movies]","[Talking in person]"
"25","fqnl4pr3",2019-03-04 11:36:05,0,0,3,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Talking in person]"
"26","fqnl4pr3",2019-03-04 14:12:20,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"27","fqnl4pr3",2019-03-04 18:46:12,0,0,3,0,2,"[Friend's house]","[Friends]","[Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"28","fqnl4pr3",2019-03-05 15:02:56,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"29","fqnl4pr3",2019-03-05 20:08:43,0,0,3,0,2,"[Store / Mall]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
