"","pid","survey.date","local.time","answer","variable"
"1","ftb5jbci",2019-02-15,2019-02-15 21:01:15,0,"sad"
"2","ftb5jbci",2019-02-16,2019-02-16 21:15:52,0,"sad"
"3","ftb5jbci",2019-02-17,2019-02-17 21:00:33,0,"sad"
"4","ftb5jbci",2019-02-18,2019-02-18 21:00:58,2,"sad"
"5","ftb5jbci",2019-02-19,2019-02-19 21:00:39,1,"sad"
"6","ftb5jbci",2019-02-20,2019-02-20 21:12:33,3,"sad"
"7","ftb5jbci",2019-02-21,2019-02-22 09:07:11,2,"sad"
"8","ftb5jbci",2019-02-22,2019-02-22 21:01:11,1,"sad"
"9","ftb5jbci",2019-02-23,2019-02-23 21:05:12,1,"sad"
"10","ftb5jbci",2019-02-24,2019-02-24 21:00:35,1,"sad"
"11","ftb5jbci",2019-02-25,2019-02-25 21:10:14,1,"sad"
"12","ftb5jbci",2019-02-26,2019-02-26 22:18:45,0,"sad"
"13","ftb5jbci",2019-02-28,2019-02-28 21:38:35,0,"sad"
"14","ftb5jbci",2019-03-01,2019-03-01 22:49:27,0,"sad"
"15","ftb5jbci",2019-03-02,2019-03-02 21:00:58,0,"sad"
"16","ftb5jbci",2019-03-03,2019-03-03 21:08:34,0,"sad"
"17","ftb5jbci",2019-03-04,2019-03-04 21:08:53,3,"sad"
"18","ftb5jbci",2019-03-05,2019-03-05 21:49:22,0,"sad"
"19","ftb5jbci",2019-03-06,2019-03-06 21:06:51,0,"sad"
"20","ftb5jbci",2019-03-09,2019-03-09 21:29:56,0,"sad"
"21","ftb5jbci",2019-03-11,2019-03-11 21:01:07,0,"sad"
"22","ftb5jbci",2019-03-12,2019-03-12 21:00:59,0,"sad"
"23","ftb5jbci",2019-03-13,2019-03-13 21:15:30,0,"sad"
"24","ftb5jbci",2019-02-15,2019-02-15 21:01:15,2,"stress"
"25","ftb5jbci",2019-02-16,2019-02-16 21:15:52,2,"stress"
"26","ftb5jbci",2019-02-17,2019-02-17 21:00:33,3,"stress"
"27","ftb5jbci",2019-02-18,2019-02-18 21:00:58,3,"stress"
"28","ftb5jbci",2019-02-19,2019-02-19 21:00:39,1,"stress"
"29","ftb5jbci",2019-02-20,2019-02-20 21:12:33,1,"stress"
"30","ftb5jbci",2019-02-21,2019-02-22 09:07:11,1,"stress"
"31","ftb5jbci",2019-02-22,2019-02-22 21:01:11,1,"stress"
"32","ftb5jbci",2019-02-23,2019-02-23 21:05:12,1,"stress"
"33","ftb5jbci",2019-02-24,2019-02-24 21:00:35,3,"stress"
"34","ftb5jbci",2019-02-25,2019-02-25 21:10:14,3,"stress"
"35","ftb5jbci",2019-02-26,2019-02-26 22:18:45,1,"stress"
"36","ftb5jbci",2019-02-28,2019-02-28 21:38:35,1,"stress"
"37","ftb5jbci",2019-03-01,2019-03-01 22:49:27,1,"stress"
"38","ftb5jbci",2019-03-02,2019-03-02 21:00:58,2,"stress"
"39","ftb5jbci",2019-03-03,2019-03-03 21:08:34,2,"stress"
"40","ftb5jbci",2019-03-04,2019-03-04 21:08:53,3,"stress"
"41","ftb5jbci",2019-03-05,2019-03-05 21:49:22,2,"stress"
"42","ftb5jbci",2019-03-06,2019-03-06 21:06:51,2,"stress"
"43","ftb5jbci",2019-03-09,2019-03-09 21:29:56,2,"stress"
"44","ftb5jbci",2019-03-11,2019-03-11 21:01:07,2,"stress"
"45","ftb5jbci",2019-03-12,2019-03-12 21:00:59,2,"stress"
"46","ftb5jbci",2019-03-13,2019-03-13 21:15:30,2,"stress"
"47","ftb5jbci",2019-02-15,2019-02-15 21:01:15,1,"content"
"48","ftb5jbci",2019-02-16,2019-02-16 21:15:52,1,"content"
"49","ftb5jbci",2019-02-17,2019-02-17 21:00:33,1,"content"
"50","ftb5jbci",2019-02-18,2019-02-18 21:00:58,2,"content"
"51","ftb5jbci",2019-02-19,2019-02-19 21:00:39,2,"content"
"52","ftb5jbci",2019-02-20,2019-02-20 21:12:33,2,"content"
"53","ftb5jbci",2019-02-21,2019-02-22 09:07:11,1,"content"
"54","ftb5jbci",2019-02-22,2019-02-22 21:01:11,2,"content"
"55","ftb5jbci",2019-02-23,2019-02-23 21:05:12,1,"content"
"56","ftb5jbci",2019-02-24,2019-02-24 21:00:35,0,"content"
"57","ftb5jbci",2019-02-25,2019-02-25 21:10:14,3,"content"
"58","ftb5jbci",2019-02-26,2019-02-26 22:18:45,2,"content"
"59","ftb5jbci",2019-02-28,2019-02-28 21:38:35,2,"content"
"60","ftb5jbci",2019-03-01,2019-03-01 22:49:27,2,"content"
"61","ftb5jbci",2019-03-02,2019-03-02 21:00:58,2,"content"
"62","ftb5jbci",2019-03-03,2019-03-03 21:08:34,1,"content"
"63","ftb5jbci",2019-03-04,2019-03-04 21:08:53,0,"content"
"64","ftb5jbci",2019-03-05,2019-03-05 21:49:22,3,"content"
"65","ftb5jbci",2019-03-06,2019-03-06 21:06:51,1,"content"
"66","ftb5jbci",2019-03-09,2019-03-09 21:29:56,0,"content"
"67","ftb5jbci",2019-03-11,2019-03-11 21:01:07,2,"content"
"68","ftb5jbci",2019-03-12,2019-03-12 21:00:59,1,"content"
"69","ftb5jbci",2019-03-13,2019-03-13 21:15:30,1,"content"
"70","ftb5jbci",2019-02-15,2019-02-15 21:01:15,1,"lonely"
"71","ftb5jbci",2019-02-16,2019-02-16 21:15:52,0,"lonely"
"72","ftb5jbci",2019-02-17,2019-02-17 21:00:33,0,"lonely"
"73","ftb5jbci",2019-02-18,2019-02-18 21:00:58,1,"lonely"
"74","ftb5jbci",2019-02-19,2019-02-19 21:00:39,0,"lonely"
