"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","i1er9g4f",2019-02-14 09:31:40,0,1,2,0,3,"[Cafe; Restaurant;Campus]","[Classmates; students;Strangers]","[Attending classes; meetings;Browsing the Internet; using social media]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"2","i1er9g4f",2019-02-14 16:06:43,0,1,2,1,1,"[Campus]","[No one; alone;None of the above; Other]","[Attending classes; meetings]","[Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"3","i1er9g4f",2019-02-14 18:01:20,1,1,1,1,3,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Talking on the phone;Interacting on Instagram;Interacting on Snapchat]"
"4","i1er9g4f",2019-02-15 19:24:15,0,1,2,0,3,"[Campus]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"5","i1er9g4f",2019-02-16 09:37:55,0,2,1,1,2,"[Home (dorm; apartment)]","[Friends;Significant Other]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat]"
"6","i1er9g4f",2019-02-17 09:37:16,1,2,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"7","i1er9g4f",2019-02-17 12:16:23,0,2,2,0,3,"[Campus]","[Friends]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone]"
"8","i1er9g4f",2019-02-17 17:23:29,0,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"9","i1er9g4f",2019-02-18 09:02:48,0,2,2,0,3,"[Home (dorm; apartment)]","[Significant Other]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat]"
"10","i1er9g4f",2019-02-18 13:05:51,1,1,2,0,3,"[Campus]","[No one; alone]","[Attending classes; meetings]","[Text messaging on the phone]"
"11","i1er9g4f",2019-02-18 19:58:05,0,1,2,0,3,"[Campus;Home (dorm; apartment)]","[Roommates;Significant Other]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"12","i1er9g4f",2019-02-19 12:43:55,0,1,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Talking; texting; socializing]","[Talking on the phone;Interacting on Snapchat]"
"13","i1er9g4f",2019-02-20 13:39:59,0,1,2,0,3,"[Campus;Library]","[Friends;Significant Other]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat]"
"14","i1er9g4f",2019-02-21 14:39:52,1,1,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"15","i1er9g4f",2019-02-22 15:00:39,2,2,0,1,1,"[Home (dorm; apartment)]","[Significant Other]","[Browsing the Internet; using social media]","[Talking on the phone]"
"16","i1er9g4f",2019-02-22 19:20:47,0,1,3,0,3,"[Cafe; Restaurant]","[Friends;Significant Other]","[Talking; texting; socializing]","[Talking in person]"
"17","i1er9g4f",2019-02-23 13:42:42,0,1,2,0,3,"[Campus]","[Friends;Significant Other]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person]"
"18","i1er9g4f",2019-02-24 10:25:30,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Text messaging on the phone]"
"19","i1er9g4f",2019-02-24 18:54:02,0,1,1,0,1,"[Home (dorm; apartment)]","[Roommates;Significant Other]","[Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"20","i1er9g4f",2019-02-25 10:04:45,0,0,2,0,2,"[Campus]","[Friends]","[Attending classes; meetings]","[Talking in person]"
