"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","i4w2wxsa",2019-02-15 12:01:43,1,2,2,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"2","i4w2wxsa",2019-02-18 16:29:09,1,1,1,1,2,"[Campus]","[Friends]","[Attending classes; meetings]","[Talking in person]"
"3","i4w2wxsa",2019-02-22 21:35:32,2,2,1,1,2,"[Campus]","[Friends]","[Commuting; traveling]","[Talking in person]"
"4","i4w2wxsa",2019-02-23 19:14:03,1,2,1,1,2,"[Gym]","[No one; alone]","[Exercising; physical activity; sports]","[Not applicable; was not interacting with anyone]"
"5","i4w2wxsa",2019-02-25 12:08:16,1,1,1,1,2,"[Campus]","[Friends]","[Commuting; traveling]","[Talking in person]"
"6","i4w2wxsa",2019-02-25 18:00:28,1,1,1,1,2,"[Home (dorm; apartment)]","[Friends]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"7","i4w2wxsa",2019-02-26 15:31:57,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"8","i4w2wxsa",2019-02-26 20:20:41,1,1,2,1,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Talking in person]"
"9","i4w2wxsa",2019-02-27 11:03:37,1,2,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"10","i4w2wxsa",2019-03-01 09:49:47,1,1,1,1,2,"[Work]","[Co-workers]","[Working at job]","[Not applicable; was not interacting with anyone]"
"11","i4w2wxsa",2019-03-02 12:36:21,1,1,1,1,2,"[Campus]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"12","i4w2wxsa",2019-03-04 16:50:43,1,1,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"13","i4w2wxsa",2019-03-05 18:00:31,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
