"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ipc6d8yw",2019-02-14 09:15:13,1,1,0,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"2","ipc6d8yw",2019-02-14 13:14:31,0,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Doing household chores; running errands;Watching TV; movies]","[Text messaging on the phone;Emailing;Interacting on Instagram;Interacting on Snapchat]"
"3","ipc6d8yw",2019-02-14 15:22:25,0,1,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Browsing the Internet; using social media]","[Text messaging on the phone;Interacting on Snapchat]"
"4","ipc6d8yw",2019-02-14 18:32:49,0,1,2,0,2,"[Campus;Library]","[Classmates; students;Friends]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"5","ipc6d8yw",2019-02-15 11:36:10,0,1,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing;Watching TV; movies]","[Talking on the phone;Text messaging on the phone;Emailing;Interacting on Instagram;Interacting on Snapchat]"
"6","ipc6d8yw",2019-02-15 12:32:53,0,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Doing household chores; running errands;Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[Talking on the phone;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"7","ipc6d8yw",2019-02-15 15:11:16,0,1,2,1,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings;Browsing the Internet; using social media;Doing household chores; running errands;Eating; drinking;Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"8","ipc6d8yw",2019-02-15 19:51:06,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Browsing the Internet; using social media;Doing household chores; running errands;Eating; drinking;Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[Talking on the phone;Text messaging on the phone;Emailing;Interacting on Instagram;Interacting on Snapchat]"
"9","ipc6d8yw",2019-02-16 09:59:34,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Watching TV; movies]","[Interacting on Instagram;Interacting on Snapchat]"
"10","ipc6d8yw",2019-02-16 14:06:24,0,0,2,0,3,"[Campus;Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Talking in person;Interacting on Snapchat]"
