"","pid","survey.date","local.time","answer","variable"
"1","j46jpgne",2019-02-14,2019-02-14 23:14:39,2,"sad"
"2","j46jpgne",2019-02-15,2019-02-15 21:29:41,1,"sad"
"3","j46jpgne",2019-02-16,2019-02-16 22:36:14,1,"sad"
"4","j46jpgne",2019-02-17,2019-02-17 21:39:58,1,"sad"
"5","j46jpgne",2019-02-18,2019-02-18 23:48:56,1,"sad"
"6","j46jpgne",2019-02-19,2019-02-19 21:02:15,1,"sad"
"7","j46jpgne",2019-02-20,2019-02-21 11:24:30,1,"sad"
"8","j46jpgne",2019-02-21,2019-02-21 22:56:37,0,"sad"
"9","j46jpgne",2019-02-23,2019-02-24 01:57:11,0,"sad"
"10","j46jpgne",2019-02-24,2019-02-24 23:17:03,0,"sad"
"11","j46jpgne",2019-02-25,2019-02-25 23:16:08,0,"sad"
"12","j46jpgne",2019-02-27,2019-02-28 00:08:33,0,"sad"
"13","j46jpgne",2019-02-28,2019-02-28 21:01:18,0,"sad"
"14","j46jpgne",2019-03-02,2019-03-02 22:34:04,1,"sad"
"15","j46jpgne",2019-03-04,2019-03-04 23:09:51,0,"sad"
"16","j46jpgne",2019-03-06,2019-03-07 11:07:10,1,"sad"
"17","j46jpgne",2019-02-14,2019-02-14 23:14:39,3,"stress"
"18","j46jpgne",2019-02-15,2019-02-15 21:29:41,1,"stress"
"19","j46jpgne",2019-02-16,2019-02-16 22:36:14,2,"stress"
"20","j46jpgne",2019-02-17,2019-02-17 21:39:58,2,"stress"
"21","j46jpgne",2019-02-18,2019-02-18 23:48:56,2,"stress"
"22","j46jpgne",2019-02-19,2019-02-19 21:02:15,2,"stress"
"23","j46jpgne",2019-02-20,2019-02-21 11:24:30,3,"stress"
"24","j46jpgne",2019-02-21,2019-02-21 22:56:37,2,"stress"
"25","j46jpgne",2019-02-23,2019-02-24 01:57:11,1,"stress"
"26","j46jpgne",2019-02-24,2019-02-24 23:17:03,2,"stress"
"27","j46jpgne",2019-02-25,2019-02-25 23:16:08,2,"stress"
"28","j46jpgne",2019-02-27,2019-02-28 00:08:33,1,"stress"
"29","j46jpgne",2019-02-28,2019-02-28 21:01:18,1,"stress"
"30","j46jpgne",2019-03-02,2019-03-02 22:34:04,2,"stress"
"31","j46jpgne",2019-03-04,2019-03-04 23:09:51,2,"stress"
"32","j46jpgne",2019-03-06,2019-03-07 11:07:10,2,"stress"
"33","j46jpgne",2019-02-14,2019-02-14 23:14:39,1,"content"
"34","j46jpgne",2019-02-15,2019-02-15 21:29:41,1,"content"
"35","j46jpgne",2019-02-16,2019-02-16 22:36:14,1,"content"
"36","j46jpgne",2019-02-17,2019-02-17 21:39:58,1,"content"
"37","j46jpgne",2019-02-18,2019-02-18 23:48:56,1,"content"
"38","j46jpgne",2019-02-19,2019-02-19 21:02:15,1,"content"
"39","j46jpgne",2019-02-20,2019-02-21 11:24:30,1,"content"
"40","j46jpgne",2019-02-21,2019-02-21 22:56:37,2,"content"
"41","j46jpgne",2019-02-23,2019-02-24 01:57:11,3,"content"
"42","j46jpgne",2019-02-24,2019-02-24 23:17:03,2,"content"
"43","j46jpgne",2019-02-25,2019-02-25 23:16:08,0,"content"
"44","j46jpgne",2019-02-27,2019-02-28 00:08:33,1,"content"
"45","j46jpgne",2019-02-28,2019-02-28 21:01:18,1,"content"
"46","j46jpgne",2019-03-02,2019-03-02 22:34:04,0,"content"
"47","j46jpgne",2019-03-04,2019-03-04 23:09:51,1,"content"
"48","j46jpgne",2019-03-06,2019-03-07 11:07:10,1,"content"
"49","j46jpgne",2019-02-14,2019-02-14 23:14:39,1,"lonely"
"50","j46jpgne",2019-02-15,2019-02-15 21:29:41,0,"lonely"
"51","j46jpgne",2019-02-16,2019-02-16 22:36:14,1,"lonely"
"52","j46jpgne",2019-02-17,2019-02-17 21:39:58,0,"lonely"
"53","j46jpgne",2019-02-18,2019-02-18 23:48:56,0,"lonely"
"54","j46jpgne",2019-02-19,2019-02-19 21:02:15,0,"lonely"
"55","j46jpgne",2019-02-20,2019-02-21 11:24:30,0,"lonely"
"56","j46jpgne",2019-02-21,2019-02-21 22:56:37,0,"lonely"
"57","j46jpgne",2019-02-23,2019-02-24 01:57:11,0,"lonely"
"58","j46jpgne",2019-02-24,2019-02-24 23:17:03,0,"lonely"
"59","j46jpgne",2019-02-25,2019-02-25 23:16:08,0,"lonely"
"60","j46jpgne",2019-02-27,2019-02-28 00:08:33,0,"lonely"
"61","j46jpgne",2019-02-28,2019-02-28 21:01:18,0,"lonely"
"62","j46jpgne",2019-03-04,2019-03-04 23:09:51,0,"lonely"
"63","j46jpgne",2019-03-06,2019-03-07 11:07:10,0,"lonely"
"64","j46jpgne",2019-02-14,2019-02-14 23:14:39,1,"energy"
"65","j46jpgne",2019-02-15,2019-02-15 21:29:41,2,"energy"
"66","j46jpgne",2019-02-16,2019-02-16 22:36:14,2,"energy"
"67","j46jpgne",2019-02-17,2019-02-17 21:39:58,2,"energy"
"68","j46jpgne",2019-02-18,2019-02-18 23:48:56,2,"energy"
"69","j46jpgne",2019-02-19,2019-02-19 21:02:15,2,"energy"
"70","j46jpgne",2019-02-20,2019-02-21 11:24:30,2,"energy"
"71","j46jpgne",2019-02-21,2019-02-21 22:56:37,2,"energy"
"72","j46jpgne",2019-02-23,2019-02-24 01:57:11,3,"energy"
"73","j46jpgne",2019-02-24,2019-02-24 23:17:03,2,"energy"
"74","j46jpgne",2019-02-25,2019-02-25 23:16:08,1,"energy"
"75","j46jpgne",2019-02-27,2019-02-28 00:08:33,1,"energy"
"76","j46jpgne",2019-02-28,2019-02-28 21:01:18,2,"energy"
"77","j46jpgne",2019-03-04,2019-03-04 23:09:51,1,"energy"
"78","j46jpgne",2019-03-06,2019-03-07 11:07:10,1,"energy"
"79","j46jpgne",2019-02-14,2019-02-14 09:58:30,4,"sleep"
"80","j46jpgne",2019-02-15,2019-02-15 16:03:54,7,"sleep"
"81","j46jpgne",2019-02-16,2019-02-16 19:24:01,8,"sleep"
"82","j46jpgne",2019-02-17,2019-02-17 14:10:55,6,"sleep"
"83","j46jpgne",2019-02-18,2019-02-18 09:43:03,4,"sleep"
"84","j46jpgne",2019-02-19,2019-02-19 12:19:13,6,"sleep"
"85","j46jpgne",2019-02-20,2019-02-20 12:54:05,2,"sleep"
"86","j46jpgne",2019-02-21,2019-02-21 11:26:40,7,"sleep"
"87","j46jpgne",2019-02-23,2019-02-23 14:12:17,6,"sleep"
"88","j46jpgne",2019-02-24,2019-02-24 23:14:50,8,"sleep"
"89","j46jpgne",2019-02-25,2019-02-25 11:45:11,0,"sleep"
"90","j46jpgne",2019-02-28,2019-02-28 00:05:11,7,"sleep"
"91","j46jpgne",2019-02-28,2019-02-28 10:02:15,3,"sleep"
"92","j46jpgne",2019-03-01,2019-03-01 10:32:58,4,"sleep"
"93","j46jpgne",2019-03-02,2019-03-02 09:13:05,7,"sleep"
"94","j46jpgne",2019-03-04,2019-03-04 12:01:19,3,"sleep"
"95","j46jpgne",2019-03-05,2019-03-05 18:01:17,3,"sleep"
"96","j46jpgne",2019-03-06,2019-03-06 15:00:44,3,"sleep"
"97","j46jpgne",2019-03-07,2019-03-07 11:08:06,2,"sleep"
"98","j46jpgne",2019-02-14,2019-02-14 09:58:30,2,"refreshed"
"99","j46jpgne",2019-02-15,2019-02-15 16:03:54,2,"refreshed"
"100","j46jpgne",2019-02-16,2019-02-16 19:24:01,2,"refreshed"
"101","j46jpgne",2019-02-17,2019-02-17 14:10:55,2,"refreshed"
