"","pid","survey.date","local.time","answer","variable"
"1","j5wg9yk3",2019-02-14,2019-02-15 09:49:50,1,"sad"
"2","j5wg9yk3",2019-02-15,2019-02-16 11:11:45,1,"sad"
"3","j5wg9yk3",2019-02-17,2019-02-17 16:20:00,1,"sad"
"4","j5wg9yk3",2019-02-20,2019-02-20 18:39:53,2,"sad"
"5","j5wg9yk3",2019-02-21,2019-02-21 12:31:07,2,"sad"
"6","j5wg9yk3",2019-02-25,2019-02-25 13:17:48,1,"sad"
"7","j5wg9yk3",2019-03-03,2019-03-04 10:13:04,2,"sad"
"8","j5wg9yk3",2019-03-05,2019-03-05 18:13:50,1,"sad"
"9","j5wg9yk3",2019-03-14,2019-03-15 10:16:06,1,"sad"
"10","j5wg9yk3",2019-02-14,2019-02-15 09:49:50,1,"stress"
"11","j5wg9yk3",2019-02-15,2019-02-16 11:11:45,1,"stress"
"12","j5wg9yk3",2019-02-17,2019-02-17 16:20:00,2,"stress"
"13","j5wg9yk3",2019-02-20,2019-02-20 18:39:53,2,"stress"
"14","j5wg9yk3",2019-02-21,2019-02-21 12:31:07,1,"stress"
"15","j5wg9yk3",2019-02-25,2019-02-25 13:17:48,1,"stress"
"16","j5wg9yk3",2019-03-03,2019-03-04 10:13:04,1,"stress"
"17","j5wg9yk3",2019-03-05,2019-03-05 18:13:50,2,"stress"
"18","j5wg9yk3",2019-03-14,2019-03-15 10:16:06,2,"stress"
"19","j5wg9yk3",2019-02-14,2019-02-15 09:49:50,2,"content"
"20","j5wg9yk3",2019-02-15,2019-02-16 11:11:45,3,"content"
"21","j5wg9yk3",2019-02-17,2019-02-17 16:20:00,2,"content"
"22","j5wg9yk3",2019-02-20,2019-02-20 18:39:53,2,"content"
"23","j5wg9yk3",2019-02-21,2019-02-21 12:31:07,2,"content"
"24","j5wg9yk3",2019-02-25,2019-02-25 13:17:48,2,"content"
"25","j5wg9yk3",2019-03-03,2019-03-04 10:13:04,2,"content"
"26","j5wg9yk3",2019-03-05,2019-03-05 18:13:50,2,"content"
"27","j5wg9yk3",2019-03-14,2019-03-15 10:16:06,2,"content"
"28","j5wg9yk3",2019-02-14,2019-02-15 09:49:50,0,"lonely"
"29","j5wg9yk3",2019-02-15,2019-02-16 11:11:45,0,"lonely"
"30","j5wg9yk3",2019-02-17,2019-02-17 16:20:00,0,"lonely"
"31","j5wg9yk3",2019-02-20,2019-02-20 18:39:53,1,"lonely"
"32","j5wg9yk3",2019-02-21,2019-02-21 12:31:07,1,"lonely"
"33","j5wg9yk3",2019-02-25,2019-02-25 13:17:48,0,"lonely"
"34","j5wg9yk3",2019-03-03,2019-03-04 10:13:04,0,"lonely"
"35","j5wg9yk3",2019-03-05,2019-03-05 18:13:50,0,"lonely"
"36","j5wg9yk3",2019-03-14,2019-03-15 10:16:06,0,"lonely"
"37","j5wg9yk3",2019-02-14,2019-02-15 09:49:50,3,"energy"
"38","j5wg9yk3",2019-02-15,2019-02-16 11:11:45,3,"energy"
"39","j5wg9yk3",2019-02-17,2019-02-17 16:20:00,2,"energy"
"40","j5wg9yk3",2019-02-20,2019-02-20 18:39:53,1,"energy"
"41","j5wg9yk3",2019-02-21,2019-02-21 12:31:07,3,"energy"
"42","j5wg9yk3",2019-02-25,2019-02-25 13:17:48,3,"energy"
"43","j5wg9yk3",2019-03-03,2019-03-04 10:13:04,2,"energy"
"44","j5wg9yk3",2019-03-05,2019-03-05 18:13:50,3,"energy"
"45","j5wg9yk3",2019-03-14,2019-03-15 10:16:06,2,"energy"
"46","j5wg9yk3",2019-02-14,2019-02-14 09:15:01,5,"sleep"
"47","j5wg9yk3",2019-02-15,2019-02-15 09:50:56,8,"sleep"
"48","j5wg9yk3",2019-02-16,2019-02-16 11:12:44,8,"sleep"
"49","j5wg9yk3",2019-02-17,2019-02-17 16:21:17,8,"sleep"
"50","j5wg9yk3",2019-02-20,2019-02-20 18:40:42,9,"sleep"
"51","j5wg9yk3",2019-02-21,2019-02-21 12:34:07,8,"sleep"
"52","j5wg9yk3",2019-03-04,2019-03-04 10:13:50,7,"sleep"
"53","j5wg9yk3",2019-03-05,2019-03-05 18:14:36,7,"sleep"
"54","j5wg9yk3",2019-03-15,2019-03-15 10:17:14,8,"sleep"
"55","j5wg9yk3",2019-02-14,2019-02-14 09:15:01,1,"refreshed"
"56","j5wg9yk3",2019-02-15,2019-02-15 09:50:56,3,"refreshed"
"57","j5wg9yk3",2019-02-16,2019-02-16 11:12:44,2,"refreshed"
"58","j5wg9yk3",2019-02-17,2019-02-17 16:21:17,2,"refreshed"
"59","j5wg9yk3",2019-02-20,2019-02-20 18:40:42,2,"refreshed"
"60","j5wg9yk3",2019-02-21,2019-02-21 12:34:07,2,"refreshed"
"61","j5wg9yk3",2019-03-04,2019-03-04 10:13:50,2,"refreshed"
"62","j5wg9yk3",2019-03-05,2019-03-05 18:14:36,2,"refreshed"
"63","j5wg9yk3",2019-03-15,2019-03-15 10:17:14,2,"refreshed"
"64","j5wg9yk3",2019-02-14,2019-02-14 09:15:01,1,"restful"
"65","j5wg9yk3",2019-02-15,2019-02-15 09:50:56,3,"restful"
"66","j5wg9yk3",2019-02-16,2019-02-16 11:12:44,3,"restful"
"67","j5wg9yk3",2019-02-17,2019-02-17 16:21:17,3,"restful"
"68","j5wg9yk3",2019-02-20,2019-02-20 18:40:42,3,"restful"
"69","j5wg9yk3",2019-02-21,2019-02-21 12:34:07,3,"restful"
"70","j5wg9yk3",2019-03-04,2019-03-04 10:13:50,2,"restful"
"71","j5wg9yk3",2019-03-05,2019-03-05 18:14:36,2,"restful"
