"","pid","survey.date","local.time","answer","variable"
"1","jrax1byo",2019-02-14,2019-02-14 21:02:13,1,"sad"
"2","jrax1byo",2019-02-15,2019-02-15 21:12:49,1,"sad"
"3","jrax1byo",2019-02-16,2019-02-16 21:02:09,1,"sad"
"4","jrax1byo",2019-02-17,2019-02-17 21:02:32,1,"sad"
"5","jrax1byo",2019-02-18,2019-02-18 21:02:18,1,"sad"
"6","jrax1byo",2019-02-19,2019-02-20 03:51:51,1,"sad"
"7","jrax1byo",2019-02-20,2019-02-20 21:01:41,1,"sad"
"8","jrax1byo",2019-02-21,2019-02-21 22:10:04,1,"sad"
"9","jrax1byo",2019-02-22,2019-02-22 21:00:47,1,"sad"
"10","jrax1byo",2019-02-23,2019-02-23 21:05:55,1,"sad"
"11","jrax1byo",2019-02-24,2019-02-24 21:08:14,1,"sad"
"12","jrax1byo",2019-02-25,2019-02-25 21:00:45,1,"sad"
"13","jrax1byo",2019-02-26,2019-02-27 00:12:08,1,"sad"
"14","jrax1byo",2019-02-27,2019-02-27 21:01:29,1,"sad"
"15","jrax1byo",2019-02-28,2019-02-28 21:19:50,1,"sad"
"16","jrax1byo",2019-03-01,2019-03-01 21:37:55,1,"sad"
"17","jrax1byo",2019-03-02,2019-03-02 21:01:21,1,"sad"
"18","jrax1byo",2019-03-03,2019-03-03 22:47:15,1,"sad"
"19","jrax1byo",2019-03-04,2019-03-04 21:11:34,1,"sad"
"20","jrax1byo",2019-03-05,2019-03-05 22:07:11,1,"sad"
"21","jrax1byo",2019-03-06,2019-03-07 00:18:08,1,"sad"
"22","jrax1byo",2019-03-07,2019-03-07 21:24:47,1,"sad"
"23","jrax1byo",2019-03-08,2019-03-08 22:14:45,1,"sad"
"24","jrax1byo",2019-02-14,2019-02-14 21:02:13,2,"stress"
"25","jrax1byo",2019-02-15,2019-02-15 21:12:49,1,"stress"
"26","jrax1byo",2019-02-16,2019-02-16 21:02:09,2,"stress"
"27","jrax1byo",2019-02-17,2019-02-17 21:02:32,2,"stress"
"28","jrax1byo",2019-02-18,2019-02-18 21:02:18,2,"stress"
"29","jrax1byo",2019-02-19,2019-02-20 03:51:51,1,"stress"
"30","jrax1byo",2019-02-20,2019-02-20 21:01:41,2,"stress"
"31","jrax1byo",2019-02-21,2019-02-21 22:10:04,2,"stress"
"32","jrax1byo",2019-02-22,2019-02-22 21:00:47,2,"stress"
"33","jrax1byo",2019-02-23,2019-02-23 21:05:55,3,"stress"
"34","jrax1byo",2019-02-24,2019-02-24 21:08:14,3,"stress"
"35","jrax1byo",2019-02-25,2019-02-25 21:00:45,2,"stress"
"36","jrax1byo",2019-02-26,2019-02-27 00:12:08,2,"stress"
"37","jrax1byo",2019-02-27,2019-02-27 21:01:29,2,"stress"
"38","jrax1byo",2019-02-28,2019-02-28 21:19:50,1,"stress"
"39","jrax1byo",2019-03-01,2019-03-01 21:37:55,3,"stress"
"40","jrax1byo",2019-03-02,2019-03-02 21:01:21,2,"stress"
"41","jrax1byo",2019-03-03,2019-03-03 22:47:15,2,"stress"
"42","jrax1byo",2019-03-04,2019-03-04 21:11:34,3,"stress"
"43","jrax1byo",2019-03-05,2019-03-05 22:07:11,3,"stress"
"44","jrax1byo",2019-03-06,2019-03-07 00:18:08,3,"stress"
"45","jrax1byo",2019-03-07,2019-03-07 21:24:47,3,"stress"
"46","jrax1byo",2019-03-08,2019-03-08 22:14:45,3,"stress"
"47","jrax1byo",2019-02-14,2019-02-14 21:02:13,1,"content"
"48","jrax1byo",2019-02-15,2019-02-15 21:12:49,2,"content"
"49","jrax1byo",2019-02-16,2019-02-16 21:02:09,2,"content"
"50","jrax1byo",2019-02-17,2019-02-17 21:02:32,2,"content"
"51","jrax1byo",2019-02-18,2019-02-18 21:02:18,2,"content"
"52","jrax1byo",2019-02-19,2019-02-20 03:51:51,2,"content"
"53","jrax1byo",2019-02-20,2019-02-20 21:01:41,2,"content"
"54","jrax1byo",2019-02-21,2019-02-21 22:10:04,2,"content"
"55","jrax1byo",2019-02-22,2019-02-22 21:00:47,2,"content"
"56","jrax1byo",2019-02-23,2019-02-23 21:05:55,2,"content"
"57","jrax1byo",2019-02-24,2019-02-24 21:08:14,2,"content"
"58","jrax1byo",2019-02-25,2019-02-25 21:00:45,2,"content"
"59","jrax1byo",2019-02-26,2019-02-27 00:12:08,2,"content"
"60","jrax1byo",2019-02-27,2019-02-27 21:01:29,2,"content"
"61","jrax1byo",2019-02-28,2019-02-28 21:19:50,2,"content"
"62","jrax1byo",2019-03-01,2019-03-01 21:37:55,2,"content"
"63","jrax1byo",2019-03-02,2019-03-02 21:01:21,2,"content"
"64","jrax1byo",2019-03-03,2019-03-03 22:47:15,2,"content"
"65","jrax1byo",2019-03-04,2019-03-04 21:11:34,2,"content"
"66","jrax1byo",2019-03-05,2019-03-05 22:07:11,2,"content"
"67","jrax1byo",2019-03-06,2019-03-07 00:18:08,2,"content"
"68","jrax1byo",2019-03-07,2019-03-07 21:24:47,2,"content"
"69","jrax1byo",2019-03-08,2019-03-08 22:14:45,2,"content"
"70","jrax1byo",2019-02-14,2019-02-14 21:02:13,1,"lonely"
"71","jrax1byo",2019-02-15,2019-02-15 21:12:49,1,"lonely"
"72","jrax1byo",2019-02-16,2019-02-16 21:02:09,1,"lonely"
"73","jrax1byo",2019-02-17,2019-02-17 21:02:32,1,"lonely"
"74","jrax1byo",2019-02-18,2019-02-18 21:02:18,1,"lonely"
"75","jrax1byo",2019-02-19,2019-02-20 03:51:51,1,"lonely"
"76","jrax1byo",2019-02-20,2019-02-20 21:01:41,1,"lonely"
"77","jrax1byo",2019-02-21,2019-02-21 22:10:04,1,"lonely"
"78","jrax1byo",2019-02-22,2019-02-22 21:00:47,1,"lonely"
"79","jrax1byo",2019-02-23,2019-02-23 21:05:55,1,"lonely"
"80","jrax1byo",2019-02-24,2019-02-24 21:08:14,1,"lonely"
"81","jrax1byo",2019-02-25,2019-02-25 21:00:45,1,"lonely"
"82","jrax1byo",2019-02-26,2019-02-27 00:12:08,1,"lonely"
"83","jrax1byo",2019-02-27,2019-02-27 21:01:29,1,"lonely"
"84","jrax1byo",2019-02-28,2019-02-28 21:19:50,1,"lonely"
"85","jrax1byo",2019-03-01,2019-03-01 21:37:55,1,"lonely"
"86","jrax1byo",2019-03-02,2019-03-02 21:01:21,1,"lonely"
"87","jrax1byo",2019-03-03,2019-03-03 22:47:15,1,"lonely"
"88","jrax1byo",2019-03-04,2019-03-04 21:11:34,1,"lonely"
"89","jrax1byo",2019-03-05,2019-03-05 22:07:11,1,"lonely"
"90","jrax1byo",2019-03-06,2019-03-07 00:18:08,1,"lonely"
"91","jrax1byo",2019-03-07,2019-03-07 21:24:47,1,"lonely"
"92","jrax1byo",2019-03-08,2019-03-08 22:14:45,1,"lonely"
"93","jrax1byo",2019-02-14,2019-02-14 21:02:13,2,"energy"
"94","jrax1byo",2019-02-15,2019-02-15 21:12:49,3,"energy"
"95","jrax1byo",2019-02-16,2019-02-16 21:02:09,3,"energy"
"96","jrax1byo",2019-02-17,2019-02-17 21:02:32,3,"energy"
"97","jrax1byo",2019-02-18,2019-02-18 21:02:18,2,"energy"
"98","jrax1byo",2019-02-19,2019-02-20 03:51:51,2,"energy"
"99","jrax1byo",2019-02-20,2019-02-20 21:01:41,2,"energy"
"100","jrax1byo",2019-02-21,2019-02-21 22:10:04,2,"energy"
