"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","k3fncuti",2019-02-14 18:02:10,0,0,1,1,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Browsing the Internet; using social media;Commuting; traveling]","[Talking in person;Interacting on Facebook]"
"2","k3fncuti",2019-02-15 12:39:18,0,1,0,1,2,"[Campus;Home (dorm; apartment);Vehicle]","[Classmates; students;No one; alone;Strangers]","[Browsing the Internet; using social media;Commuting; traveling;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Not applicable; was not interacting with anyone]"
"3","k3fncuti",2019-02-15 15:13:38,0,1,1,1,2,"[Home (dorm; apartment)]","[Family;Roommates]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Video-chatting]"
"4","k3fncuti",2019-02-16 13:00:55,0,1,1,0,3,"[Cafe; Restaurant;Vehicle]","[Roommates;Strangers]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Talking in person;Talking on the phone;Interacting on Facebook]"
"5","k3fncuti",2019-02-16 15:30:36,0,2,1,0,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"6","k3fncuti",2019-02-17 09:53:21,1,1,1,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"7","k3fncuti",2019-02-17 12:12:02,1,1,1,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Talking in person;Talking on the phone;Interacting on Snapchat]"
"8","k3fncuti",2019-02-17 15:26:10,1,0,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing;Watching TV; movies]","[Text messaging on the phone;Interacting on Snapchat]"
"9","k3fncuti",2019-02-18 19:20:54,0,1,1,1,3,"[Campus]","[No one; alone]","[Attending classes; meetings;Commuting; traveling]","[Text messaging on the phone]"
"10","k3fncuti",2019-02-19 09:41:24,1,2,1,2,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"11","k3fncuti",2019-02-19 12:41:24,1,1,1,1,3,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing]","[Talking in person]"
"12","k3fncuti",2019-02-19 15:50:48,1,1,0,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Browsing the Internet; using social media;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"13","k3fncuti",2019-02-20 09:01:14,0,1,0,1,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone]"
"14","k3fncuti",2019-02-20 12:01:25,0,1,1,1,3,"[Campus]","[Friends;No one; alone]","[Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone;Other form of social interaction]"
"15","k3fncuti",2019-02-21 10:22:53,0,1,2,1,2,"[Campus]","[Classmates; students;No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"16","k3fncuti",2019-02-21 12:52:44,0,0,1,1,2,"[None of the above; Other]","[No one; alone;Strangers]","[Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"17","k3fncuti",2019-02-21 19:59:24,1,2,0,1,2,"[Home (dorm; apartment);Vehicle]","[Family;Friends]","[Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"18","k3fncuti",2019-02-22 11:00:45,1,1,0,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat]"
"19","k3fncuti",2019-02-22 15:11:32,1,1,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Talking; texting; socializing]","[Talking on the phone;Text messaging on the phone]"
"20","k3fncuti",2019-02-22 17:36:37,1,1,0,1,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Video-chatting]"
"21","k3fncuti",2019-02-22 19:09:07,0,0,1,0,2,"[Home (dorm; apartment)]","[Family;No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Talking in person;Video-chatting;Interacting on Facebook;Interacting on Snapchat]"
"22","k3fncuti",2019-02-23 12:07:14,0,1,1,0,3,"[Vehicle]","[Family;No one; alone]","[Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Talking in person;Talking on the phone;Text messaging on the phone;Emailing]"
"23","k3fncuti",2019-02-23 18:01:11,0,0,1,0,3,"[Friend's house]","[Friends]","[Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"24","k3fncuti",2019-02-23 20:56:00,0,0,1,0,1,"[Cafe; Restaurant]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"25","k3fncuti",2019-02-24 11:32:05,0,1,1,1,2,"[Religious facility;Vehicle]","[Family]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"26","k3fncuti",2019-02-24 16:01:04,0,1,0,1,1,"[Vehicle]","[Family;No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"27","k3fncuti",2019-02-24 19:01:10,0,1,1,0,2,"[Store / Mall;Vehicle]","[Family]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"28","k3fncuti",2019-02-25 10:41:51,1,1,2,1,1,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat]"
"29","k3fncuti",2019-02-25 15:12:02,0,1,1,0,2,"[Library]","[Friends;Strangers]","[Talking; texting; socializing]","[Talking in person;Talking on the phone]"
"30","k3fncuti",2019-02-26 10:27:58,0,1,1,1,3,"[Campus;None of the above; Other]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Talking; texting; socializing]","[Talking in person]"
"31","k3fncuti",2019-02-26 12:24:57,0,1,0,0,2,"[Cafe; Restaurant;None of the above; Other]","[Family;No one; alone]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Talking on the phone;Text messaging on the phone]"
"32","k3fncuti",2019-02-26 15:42:35,0,1,1,1,2,"[Cafe; Restaurant]","[No one; alone]","[Talking; texting; socializing]","[Talking in person]"
"33","k3fncuti",2019-02-26 18:20:35,0,0,1,0,3,"[Campus]","[No one; alone]","[Talking; texting; socializing]","[Not applicable; was not interacting with anyone]"
"34","k3fncuti",2019-02-27 10:39:22,0,0,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"35","k3fncuti",2019-02-27 12:03:18,0,0,1,1,2,"[Home (dorm; apartment);None of the above; Other]","[No one; alone]","[Commuting; traveling]","[Text messaging on the phone]"
