"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ki9ggowd",2019-02-14 10:54:48,0,1,1,1,1,"[Campus;Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings;Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Interacting on Instagram;Other form of social interaction]"
"2","ki9ggowd",2019-02-15 12:00:37,0,1,1,0,2,"[Campus;Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings;Resting; napping; doing nothing]","[Talking in person]"
"3","ki9ggowd",2019-02-15 18:29:23,1,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone;None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"4","ki9ggowd",2019-02-16 12:17:22,1,0,2,1,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Talking in person;Other form of social interaction]"
"5","ki9ggowd",2019-02-16 18:18:44,0,1,2,0,3,"[Home (dorm; apartment)]","[Roommates]","[Watching TV; movies]","[Talking in person;Talking on the phone;Text messaging on the phone]"
"6","ki9ggowd",2019-02-19 10:56:34,1,2,0,0,1,"[Campus]","[Classmates; students;Roommates]","[Attending classes; meetings]","[Talking in person]"
"7","ki9ggowd",2019-02-19 13:00:10,1,1,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking in person]"
"8","ki9ggowd",2019-02-19 15:02:07,1,0,2,0,2,"[Campus]","[Classmates; students;Roommates]","[Attending classes; meetings]","[Talking in person]"
"9","ki9ggowd",2019-02-20 11:07:26,1,1,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Talking in person;Talking on the phone]"
"10","ki9ggowd",2019-02-21 13:57:13,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"11","ki9ggowd",2019-02-21 15:46:12,0,0,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Talking in person]"
"12","ki9ggowd",2019-02-21 18:01:12,1,1,0,0,1,"[Vehicle]","[Roommates]","[None of the above; Other]","[Talking in person]"
"13","ki9ggowd",2019-02-22 09:02:38,0,0,3,0,3,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person;Text messaging on the phone]"
"14","ki9ggowd",2019-02-23 10:34:30,0,1,2,0,3,"[Home (dorm; apartment)]","[Family]","[Doing household chores; running errands;Talking; texting; socializing]","[Talking in person]"
"15","ki9ggowd",2019-02-23 14:36:38,0,1,3,0,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media]","[Talking in person]"
"16","ki9ggowd",2019-02-23 15:07:02,0,0,2,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"17","ki9ggowd",2019-02-23 20:11:59,0,0,2,0,2,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing]","[Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"18","ki9ggowd",2019-02-24 12:38:08,0,0,2,0,2,"[Home (dorm; apartment)]","[Family]","[Exercising; physical activity; sports]","[Talking in person]"
"19","ki9ggowd",2019-02-24 17:49:49,1,1,2,0,2,"[Vehicle]","[Roommates]","[Commuting; traveling]","[Talking in person;Talking on the phone]"
"20","ki9ggowd",2019-02-25 10:46:06,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Talking in person]"
"21","ki9ggowd",2019-02-25 12:01:14,0,1,2,0,3,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking in person]"
