"","pid","survey.date","local.time","answer","variable"
"1","laios675",2019-03-01,2019-03-01 13:05:02,0,"sad"
"2","laios675",2019-03-06,2019-03-06 22:23:33,0,"sad"
"3","laios675",2019-03-01,2019-03-01 13:05:02,2,"stress"
"4","laios675",2019-03-06,2019-03-06 22:23:33,1,"stress"
"5","laios675",2019-03-01,2019-03-01 13:05:02,2,"content"
"6","laios675",2019-03-06,2019-03-06 22:23:33,2,"content"
"7","laios675",2019-03-01,2019-03-01 13:05:02,0,"lonely"
"8","laios675",2019-03-06,2019-03-06 22:23:33,0,"lonely"
"9","laios675",2019-03-01,2019-03-01 13:05:02,2,"energy"
"10","laios675",2019-03-06,2019-03-06 22:23:33,2,"energy"
"11","laios675",2019-02-14,2019-02-14 10:23:04,6,"sleep"
"12","laios675",2019-03-01,2019-03-01 13:06:36,6,"sleep"
"13","laios675",2019-03-07,2019-03-07 11:06:53,5,"sleep"
"14","laios675",2019-03-11,2019-03-11 17:05:58,5,"sleep"
"15","laios675",2019-02-14,2019-02-14 10:23:04,3,"refreshed"
"16","laios675",2019-03-01,2019-03-01 13:06:36,3,"refreshed"
"17","laios675",2019-03-07,2019-03-07 11:06:53,2,"refreshed"
"18","laios675",2019-03-11,2019-03-11 17:05:58,2,"refreshed"
"19","laios675",2019-02-14,2019-02-14 10:23:04,3,"restful"
"20","laios675",2019-03-01,2019-03-01 13:06:36,2,"restful"
"21","laios675",2019-03-07,2019-03-07 11:06:53,2,"restful"
"22","laios675",2019-03-11,2019-03-11 17:05:58,2,"restful"
