"","pid","survey.date","local.time","answer","variable"
"1","lk81zook",2019-02-14,2019-02-14 21:01:36,0,"sad"
"2","lk81zook",2019-02-15,2019-02-15 21:01:09,0,"sad"
"3","lk81zook",2019-02-17,2019-02-17 12:03:56,0,"sad"
"4","lk81zook",2019-02-18,2019-02-18 12:48:43,1,"sad"
"5","lk81zook",2019-02-19,2019-02-20 08:52:06,2,"sad"
"6","lk81zook",2019-02-20,2019-02-20 21:23:51,1,"sad"
"7","lk81zook",2019-02-22,2019-02-22 23:52:41,1,"sad"
"8","lk81zook",2019-02-24,2019-02-25 11:03:30,1,"sad"
"9","lk81zook",2019-02-26,2019-02-26 16:10:36,1,"sad"
"10","lk81zook",2019-02-28,2019-03-01 00:33:41,1,"sad"
"11","lk81zook",2019-03-01,2019-03-01 22:15:39,1,"sad"
"12","lk81zook",2019-03-02,2019-03-03 09:03:09,1,"sad"
"13","lk81zook",2019-03-05,2019-03-06 09:47:40,0,"sad"
"14","lk81zook",2019-02-14,2019-02-14 21:01:36,2,"stress"
"15","lk81zook",2019-02-15,2019-02-15 21:01:09,0,"stress"
"16","lk81zook",2019-02-17,2019-02-17 12:03:56,0,"stress"
"17","lk81zook",2019-02-18,2019-02-18 12:48:43,1,"stress"
"18","lk81zook",2019-02-19,2019-02-20 08:52:06,1,"stress"
"19","lk81zook",2019-02-20,2019-02-20 21:23:51,1,"stress"
"20","lk81zook",2019-02-22,2019-02-22 23:52:41,2,"stress"
"21","lk81zook",2019-02-24,2019-02-25 11:03:30,1,"stress"
"22","lk81zook",2019-02-26,2019-02-26 16:10:36,1,"stress"
"23","lk81zook",2019-02-28,2019-03-01 00:33:41,2,"stress"
"24","lk81zook",2019-03-01,2019-03-01 22:15:39,1,"stress"
"25","lk81zook",2019-03-02,2019-03-03 09:03:09,1,"stress"
"26","lk81zook",2019-03-05,2019-03-06 09:47:40,0,"stress"
"27","lk81zook",2019-02-14,2019-02-14 21:01:36,3,"content"
"28","lk81zook",2019-02-15,2019-02-15 21:01:09,3,"content"
"29","lk81zook",2019-02-17,2019-02-17 12:03:56,3,"content"
"30","lk81zook",2019-02-18,2019-02-18 12:48:43,3,"content"
"31","lk81zook",2019-02-19,2019-02-20 08:52:06,1,"content"
"32","lk81zook",2019-02-20,2019-02-20 21:23:51,2,"content"
"33","lk81zook",2019-02-22,2019-02-22 23:52:41,2,"content"
"34","lk81zook",2019-02-24,2019-02-25 11:03:30,2,"content"
"35","lk81zook",2019-02-26,2019-02-26 16:10:36,2,"content"
"36","lk81zook",2019-02-28,2019-03-01 00:33:41,2,"content"
"37","lk81zook",2019-03-01,2019-03-01 22:15:39,2,"content"
"38","lk81zook",2019-03-02,2019-03-03 09:03:09,2,"content"
