"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","lkfvnpzz",2019-02-14 11:10:09,2,2,0,1,2,"[Campus]","[None of the above; Other]","[Commuting; traveling]","[Interacting on Snapchat]"
"2","lkfvnpzz",2019-02-14 12:01:24,1,2,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Interacting on Snapchat]"
"3","lkfvnpzz",2019-02-14 15:05:00,1,2,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking in person]"
"4","lkfvnpzz",2019-02-14 18:01:22,3,1,0,1,1,"[Home (dorm; apartment)]","[Family]","[Attending classes; meetings;Browsing the Internet; using social media;Talking; texting; socializing]","[Text messaging on the phone]"
"5","lkfvnpzz",2019-02-15 10:42:52,1,3,1,1,1,"[Home (dorm; apartment)]","[None of the above; Other]","[Studying; reading; preparing for an exam]","[Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"6","lkfvnpzz",2019-02-15 12:01:08,1,3,0,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"7","lkfvnpzz",2019-02-15 15:16:17,1,1,1,1,2,"[Campus;Home (dorm; apartment)]","[No one; alone;Strangers]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"8","lkfvnpzz",2019-02-15 19:35:51,1,1,1,0,1,"[Friend's house]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"9","lkfvnpzz",2019-02-16 11:46:50,1,0,1,0,1,"[Friend's house]","[Friends]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person]"
"10","lkfvnpzz",2019-02-16 12:17:53,1,1,1,0,1,"[Friend's house]","[Friends]","[Resting; napping; doing nothing]","[Talking in person;Talking on the phone]"
"11","lkfvnpzz",2019-02-16 18:00:43,1,1,1,1,2,"[Cafe; Restaurant;Campus]","[Strangers]","[Commuting; traveling;Exercising; physical activity; sports]","[Talking in person]"
"12","lkfvnpzz",2019-02-17 10:12:39,1,1,0,0,1,"[Vehicle]","[Friends]","[Commuting; traveling]","[Talking in person]"
"13","lkfvnpzz",2019-02-17 13:28:47,0,1,1,0,2,"[Religious facility;Vehicle]","[Friends]","[Attending classes; meetings;Commuting; traveling;Talking; texting; socializing]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"14","lkfvnpzz",2019-02-17 17:10:05,1,1,1,2,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Interacting on Instagram]"
