"","pid","survey.date","local.time","answer","variable"
"1","lpsuxqlg",2019-02-14,2019-02-14 21:01:23,1,"sad"
"2","lpsuxqlg",2019-02-15,2019-02-15 21:20:17,0,"sad"
"3","lpsuxqlg",2019-02-16,2019-02-16 21:08:33,0,"sad"
"4","lpsuxqlg",2019-02-17,2019-02-17 21:09:10,0,"sad"
"5","lpsuxqlg",2019-02-18,2019-02-18 21:01:17,0,"sad"
"6","lpsuxqlg",2019-02-19,2019-02-19 21:07:52,0,"sad"
"7","lpsuxqlg",2019-02-20,2019-02-20 21:25:34,0,"sad"
"8","lpsuxqlg",2019-02-21,2019-02-21 21:23:53,0,"sad"
"9","lpsuxqlg",2019-02-23,2019-02-23 21:01:18,0,"sad"
"10","lpsuxqlg",2019-02-24,2019-02-24 21:02:14,0,"sad"
"11","lpsuxqlg",2019-02-25,2019-02-25 22:39:59,0,"sad"
"12","lpsuxqlg",2019-02-26,2019-02-26 21:01:35,0,"sad"
"13","lpsuxqlg",2019-02-27,2019-02-27 21:55:28,0,"sad"
"14","lpsuxqlg",2019-02-28,2019-02-28 21:23:59,0,"sad"
"15","lpsuxqlg",2019-03-01,2019-03-01 21:22:09,0,"sad"
"16","lpsuxqlg",2019-03-02,2019-03-02 22:01:03,0,"sad"
"17","lpsuxqlg",2019-03-04,2019-03-04 21:06:42,0,"sad"
"18","lpsuxqlg",2019-03-05,2019-03-05 21:52:32,0,"sad"
"19","lpsuxqlg",2019-03-07,2019-03-07 21:01:10,0,"sad"
"20","lpsuxqlg",2019-02-14,2019-02-14 21:01:23,1,"stress"
"21","lpsuxqlg",2019-02-15,2019-02-15 21:20:17,0,"stress"
"22","lpsuxqlg",2019-02-16,2019-02-16 21:08:33,0,"stress"
"23","lpsuxqlg",2019-02-17,2019-02-17 21:09:10,1,"stress"
"24","lpsuxqlg",2019-02-18,2019-02-18 21:01:17,1,"stress"
"25","lpsuxqlg",2019-02-19,2019-02-19 21:07:52,2,"stress"
"26","lpsuxqlg",2019-02-20,2019-02-20 21:25:34,1,"stress"
"27","lpsuxqlg",2019-02-21,2019-02-21 21:23:53,1,"stress"
"28","lpsuxqlg",2019-02-23,2019-02-23 21:01:18,0,"stress"
"29","lpsuxqlg",2019-02-24,2019-02-24 21:02:14,1,"stress"
"30","lpsuxqlg",2019-02-25,2019-02-25 22:39:59,1,"stress"
"31","lpsuxqlg",2019-02-26,2019-02-26 21:01:35,1,"stress"
"32","lpsuxqlg",2019-02-27,2019-02-27 21:55:28,1,"stress"
"33","lpsuxqlg",2019-02-28,2019-02-28 21:23:59,1,"stress"
"34","lpsuxqlg",2019-03-01,2019-03-01 21:22:09,0,"stress"
"35","lpsuxqlg",2019-03-02,2019-03-02 22:01:03,0,"stress"
"36","lpsuxqlg",2019-03-04,2019-03-04 21:06:42,1,"stress"
"37","lpsuxqlg",2019-03-05,2019-03-05 21:52:32,1,"stress"
"38","lpsuxqlg",2019-03-07,2019-03-07 21:01:10,1,"stress"
"39","lpsuxqlg",2019-02-14,2019-02-14 21:01:23,3,"content"
"40","lpsuxqlg",2019-02-15,2019-02-15 21:20:17,2,"content"
"41","lpsuxqlg",2019-02-16,2019-02-16 21:08:33,3,"content"
"42","lpsuxqlg",2019-02-17,2019-02-17 21:09:10,2,"content"
"43","lpsuxqlg",2019-02-18,2019-02-18 21:01:17,2,"content"
"44","lpsuxqlg",2019-02-19,2019-02-19 21:07:52,3,"content"
"45","lpsuxqlg",2019-02-20,2019-02-20 21:25:34,3,"content"
"46","lpsuxqlg",2019-02-21,2019-02-21 21:23:53,3,"content"
"47","lpsuxqlg",2019-02-23,2019-02-23 21:01:18,2,"content"
"48","lpsuxqlg",2019-02-24,2019-02-24 21:02:14,3,"content"
"49","lpsuxqlg",2019-02-25,2019-02-25 22:39:59,3,"content"
"50","lpsuxqlg",2019-02-26,2019-02-26 21:01:35,3,"content"
"51","lpsuxqlg",2019-02-27,2019-02-27 21:55:28,3,"content"
"52","lpsuxqlg",2019-02-28,2019-02-28 21:23:59,3,"content"
"53","lpsuxqlg",2019-03-01,2019-03-01 21:22:09,3,"content"
"54","lpsuxqlg",2019-03-02,2019-03-02 22:01:03,3,"content"
"55","lpsuxqlg",2019-03-04,2019-03-04 21:06:42,3,"content"
"56","lpsuxqlg",2019-03-05,2019-03-05 21:52:32,3,"content"
"57","lpsuxqlg",2019-03-07,2019-03-07 21:01:10,3,"content"
"58","lpsuxqlg",2019-02-14,2019-02-14 21:01:23,0,"lonely"
"59","lpsuxqlg",2019-02-15,2019-02-15 21:20:17,0,"lonely"
"60","lpsuxqlg",2019-02-16,2019-02-16 21:08:33,0,"lonely"
"61","lpsuxqlg",2019-02-17,2019-02-17 21:09:10,0,"lonely"
"62","lpsuxqlg",2019-02-18,2019-02-18 21:01:17,0,"lonely"
"63","lpsuxqlg",2019-02-19,2019-02-19 21:07:52,0,"lonely"
"64","lpsuxqlg",2019-02-20,2019-02-20 21:25:34,0,"lonely"
"65","lpsuxqlg",2019-02-21,2019-02-21 21:23:53,0,"lonely"
"66","lpsuxqlg",2019-02-23,2019-02-23 21:01:18,1,"lonely"
"67","lpsuxqlg",2019-02-24,2019-02-24 21:02:14,0,"lonely"
"68","lpsuxqlg",2019-02-25,2019-02-25 22:39:59,0,"lonely"
"69","lpsuxqlg",2019-02-26,2019-02-26 21:01:35,0,"lonely"
"70","lpsuxqlg",2019-02-27,2019-02-27 21:55:28,0,"lonely"
"71","lpsuxqlg",2019-02-28,2019-02-28 21:23:59,0,"lonely"
"72","lpsuxqlg",2019-03-01,2019-03-01 21:22:09,0,"lonely"
"73","lpsuxqlg",2019-03-02,2019-03-02 22:01:03,0,"lonely"
"74","lpsuxqlg",2019-03-04,2019-03-04 21:06:42,0,"lonely"
"75","lpsuxqlg",2019-03-05,2019-03-05 21:52:32,0,"lonely"
"76","lpsuxqlg",2019-03-07,2019-03-07 21:01:10,0,"lonely"
"77","lpsuxqlg",2019-02-14,2019-02-14 21:01:23,2,"energy"
"78","lpsuxqlg",2019-02-15,2019-02-15 21:20:17,3,"energy"
"79","lpsuxqlg",2019-02-16,2019-02-16 21:08:33,4,"energy"
"80","lpsuxqlg",2019-02-17,2019-02-17 21:09:10,2,"energy"
"81","lpsuxqlg",2019-02-18,2019-02-18 21:01:17,2,"energy"
"82","lpsuxqlg",2019-02-19,2019-02-19 21:07:52,2,"energy"
"83","lpsuxqlg",2019-02-20,2019-02-20 21:25:34,2,"energy"
"84","lpsuxqlg",2019-02-21,2019-02-21 21:23:53,3,"energy"
"85","lpsuxqlg",2019-02-23,2019-02-23 21:01:18,1,"energy"
"86","lpsuxqlg",2019-02-24,2019-02-24 21:02:14,2,"energy"
"87","lpsuxqlg",2019-02-25,2019-02-25 22:39:59,3,"energy"
"88","lpsuxqlg",2019-02-26,2019-02-26 21:01:35,4,"energy"
"89","lpsuxqlg",2019-02-27,2019-02-27 21:55:28,3,"energy"
"90","lpsuxqlg",2019-02-28,2019-02-28 21:23:59,4,"energy"
"91","lpsuxqlg",2019-03-01,2019-03-01 21:22:09,3,"energy"
"92","lpsuxqlg",2019-03-02,2019-03-02 22:01:03,4,"energy"
"93","lpsuxqlg",2019-03-04,2019-03-04 21:06:42,3,"energy"
"94","lpsuxqlg",2019-03-05,2019-03-05 21:52:32,3,"energy"
"95","lpsuxqlg",2019-03-07,2019-03-07 21:01:10,4,"energy"
"96","lpsuxqlg",2019-02-15,2019-02-15 09:07:12,6,"sleep"
"97","lpsuxqlg",2019-02-16,2019-02-16 09:44:04,6,"sleep"
"98","lpsuxqlg",2019-02-17,2019-02-17 10:02:54,6,"sleep"
"99","lpsuxqlg",2019-02-18,2019-02-18 10:12:44,6,"sleep"
"100","lpsuxqlg",2019-02-19,2019-02-19 09:12:58,8,"sleep"
"101","lpsuxqlg",2019-02-20,2019-02-20 09:06:15,7,"sleep"
"102","lpsuxqlg",2019-02-21,2019-02-21 10:01:20,8,"sleep"
"103","lpsuxqlg",2019-02-22,2019-02-22 09:34:20,6,"sleep"
"104","lpsuxqlg",2019-02-25,2019-02-25 09:17:43,7,"sleep"
"105","lpsuxqlg",2019-02-26,2019-02-26 09:36:39,8,"sleep"
"106","lpsuxqlg",2019-02-27,2019-02-27 09:35:34,8,"sleep"
"107","lpsuxqlg",2019-02-28,2019-02-28 10:57:26,8,"sleep"
"108","lpsuxqlg",2019-03-01,2019-03-01 09:22:56,7,"sleep"
"109","lpsuxqlg",2019-03-04,2019-03-04 10:03:36,7,"sleep"
"110","lpsuxqlg",2019-03-05,2019-03-05 09:35:27,7,"sleep"
"111","lpsuxqlg",2019-03-06,2019-03-06 10:21:45,7,"sleep"
"112","lpsuxqlg",2019-03-08,2019-03-08 09:43:07,7,"sleep"
"113","lpsuxqlg",2019-03-09,2019-03-09 09:24:40,6,"sleep"
"114","lpsuxqlg",2019-02-15,2019-02-15 09:07:12,2,"refreshed"
"115","lpsuxqlg",2019-02-16,2019-02-16 09:44:04,3,"refreshed"
"116","lpsuxqlg",2019-02-17,2019-02-17 10:02:54,3,"refreshed"
"117","lpsuxqlg",2019-02-18,2019-02-18 10:12:44,1,"refreshed"
"118","lpsuxqlg",2019-02-19,2019-02-19 09:12:58,2,"refreshed"
"119","lpsuxqlg",2019-02-20,2019-02-20 09:06:15,3,"refreshed"
"120","lpsuxqlg",2019-02-21,2019-02-21 10:01:20,3,"refreshed"
"121","lpsuxqlg",2019-02-22,2019-02-22 09:34:20,2,"refreshed"
"122","lpsuxqlg",2019-02-25,2019-02-25 09:17:43,2,"refreshed"
"123","lpsuxqlg",2019-02-26,2019-02-26 09:36:39,3,"refreshed"
"124","lpsuxqlg",2019-02-27,2019-02-27 09:35:34,2,"refreshed"
"125","lpsuxqlg",2019-02-28,2019-02-28 10:57:26,3,"refreshed"
"126","lpsuxqlg",2019-03-01,2019-03-01 09:22:56,3,"refreshed"
"127","lpsuxqlg",2019-03-04,2019-03-04 10:03:36,2,"refreshed"
"128","lpsuxqlg",2019-03-05,2019-03-05 09:35:27,3,"refreshed"
"129","lpsuxqlg",2019-03-06,2019-03-06 10:21:45,2,"refreshed"
"130","lpsuxqlg",2019-03-08,2019-03-08 09:43:07,2,"refreshed"
"131","lpsuxqlg",2019-03-09,2019-03-09 09:24:40,3,"refreshed"
