"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ly715vbn",2019-02-14 15:01:29,0,3,3,0,3,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"2","ly715vbn",2019-02-15 19:49:30,1,1,1,1,1,"[Vehicle]","[Significant Other]","[Talking; texting; socializing]","[Talking in person]"
"3","ly715vbn",2019-02-17 14:54:55,0,1,3,0,2,"[Friend's house]","[Significant Other]","NO_ANSWER_SELECTED","[Talking in person]"
"4","ly715vbn",2019-02-17 19:28:46,1,1,1,1,1,"[Cafe; Restaurant]","[Significant Other]","[Eating; drinking]","[Talking in person]"
"5","ly715vbn",2019-02-18 11:57:57,2,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Not applicable; was not interacting with anyone]"
"6","ly715vbn",2019-02-19 10:29:41,1,1,2,1,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"7","ly715vbn",2019-02-19 16:14:54,0,0,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"8","ly715vbn",2019-02-19 18:04:44,0,1,2,0,1,"[Campus]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"9","ly715vbn",2019-02-23 15:01:28,0,0,3,0,2,"[Store / Mall]","[Friends;Significant Other]","[Talking; texting; socializing]","[Talking in person]"
"10","ly715vbn",2019-02-23 18:02:20,0,0,3,0,2,"[Cafe; Restaurant]","[Friends;Significant Other]","[Eating; drinking]","[Talking in person]"
"11","ly715vbn",2019-02-24 15:00:31,0,0,3,0,2,"[Cafe; Restaurant]","[Family]","[Eating; drinking]","[Talking in person]"
"12","ly715vbn",2019-02-24 18:41:27,0,1,3,0,2,"[Religious facility]","[Family]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"13","ly715vbn",2019-02-25 09:00:58,0,1,2,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"14","ly715vbn",2019-02-25 13:18:09,0,1,2,0,1,"[Work]","[Co-workers;Strangers]","[Studying; reading; preparing for an exam]","[Talking in person]"
"15","ly715vbn",2019-02-25 15:48:26,0,1,2,0,1,"[Work]","[Co-workers;Strangers]","[Studying; reading; preparing for an exam]","[Talking in person]"
"16","ly715vbn",2019-02-26 09:33:59,1,1,1,0,1,"[Campus]","[None of the above; Other]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"17","ly715vbn",2019-02-26 12:25:03,1,2,2,1,1,"[Campus]","[Strangers]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"18","ly715vbn",2019-02-27 13:42:27,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person]"
"19","ly715vbn",2019-02-27 20:16:34,0,1,3,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"20","ly715vbn",2019-02-28 22:53:32,0,2,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"21","ly715vbn",2019-03-01 12:01:06,0,1,2,0,2,"[Home (dorm; apartment)]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"22","ly715vbn",2019-03-01 15:00:39,0,2,3,0,2,"[Gym]","[None of the above; Other]","[Exercising; physical activity; sports]","[Not applicable; was not interacting with anyone]"
"23","ly715vbn",2019-03-01 21:01:39,0,1,3,0,2,"[Vehicle]","[Significant Other]","[Talking; texting; socializing]","[Talking in person]"
"24","ly715vbn",2019-03-02 11:17:51,0,1,3,0,2,"[Friend's house]","[Significant Other]","[Resting; napping; doing nothing]","[Talking in person]"
"25","ly715vbn",2019-03-02 14:15:34,0,1,3,0,2,"[Friend's house]","[Significant Other]","[Resting; napping; doing nothing]","[Talking in person]"
"26","ly715vbn",2019-03-02 15:28:14,0,1,3,0,2,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing]","[Talking in person]"
"27","ly715vbn",2019-03-02 18:01:23,0,1,3,0,2,"[Store / Mall]","[Friends;Significant Other]","[Exercising; physical activity; sports]","[Talking in person]"
"28","ly715vbn",2019-03-03 12:39:46,0,2,3,1,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"29","ly715vbn",2019-03-03 18:06:24,0,2,3,0,2,"[Cafe; Restaurant]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"30","ly715vbn",2019-03-04 09:03:07,0,2,2,1,2,"[Campus]","[None of the above; Other]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"31","ly715vbn",2019-03-04 16:24:52,0,2,3,1,2,"[Work]","[Co-workers;Friends]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person]"
"32","ly715vbn",2019-03-05 01:13:37,0,1,3,0,2,"[Cafe; Restaurant]","[Family]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"33","ly715vbn",2019-03-05 12:01:06,2,1,0,1,1,"[Home (dorm; apartment)]","[None of the above; Other]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"34","ly715vbn",2019-03-05 18:03:07,2,2,2,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Attending classes; meetings;Eating; drinking]","[Not applicable; was not interacting with anyone]"
"35","ly715vbn",2019-03-07 17:16:47,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"36","ly715vbn",2019-03-07 18:01:29,0,1,3,0,2,"[Campus]","[Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person]"
"37","ly715vbn",2019-03-08 21:00:48,0,1,2,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"38","ly715vbn",2019-03-09 13:12:15,0,2,3,0,1,"[Home (dorm; apartment)]","[Significant Other]","[Talking; texting; socializing]","[Talking in person]"
"39","ly715vbn",2019-03-12 16:03:34,1,2,3,1,2,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing]","[Talking in person]"
"40","ly715vbn",2019-03-12 18:41:01,0,2,3,0,2,"[Library]","[Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
