"","pid","survey.date","local.time","answer","variable"
"1","m1t3u43r",2019-02-14,2019-02-14 22:26:01,1,"sad"
"2","m1t3u43r",2019-02-15,2019-02-15 21:01:55,1,"sad"
"3","m1t3u43r",2019-02-17,2019-02-18 10:47:00,2,"sad"
"4","m1t3u43r",2019-02-19,2019-02-19 21:45:07,1,"sad"
"5","m1t3u43r",2019-02-20,2019-02-20 21:03:04,1,"sad"
"6","m1t3u43r",2019-02-21,2019-02-21 21:19:37,1,"sad"
"7","m1t3u43r",2019-02-22,2019-02-22 22:14:52,1,"sad"
"8","m1t3u43r",2019-02-23,2019-02-23 21:09:08,0,"sad"
"9","m1t3u43r",2019-02-25,2019-02-26 10:01:03,2,"sad"
"10","m1t3u43r",2019-02-27,2019-02-27 12:23:46,1,"sad"
"11","m1t3u43r",2019-03-01,2019-03-01 13:58:57,0,"sad"
"12","m1t3u43r",2019-03-03,2019-03-03 22:07:37,0,"sad"
"13","m1t3u43r",2019-03-06,2019-03-06 21:01:09,0,"sad"
"14","m1t3u43r",2019-02-14,2019-02-14 22:26:01,2,"stress"
"15","m1t3u43r",2019-02-15,2019-02-15 21:01:55,1,"stress"
"16","m1t3u43r",2019-02-17,2019-02-18 10:47:00,1,"stress"
"17","m1t3u43r",2019-02-19,2019-02-19 21:45:07,2,"stress"
"18","m1t3u43r",2019-02-20,2019-02-20 21:03:04,1,"stress"
"19","m1t3u43r",2019-02-21,2019-02-21 21:19:37,1,"stress"
"20","m1t3u43r",2019-02-22,2019-02-22 22:14:52,1,"stress"
"21","m1t3u43r",2019-02-23,2019-02-23 21:09:08,0,"stress"
"22","m1t3u43r",2019-02-25,2019-02-26 10:01:03,1,"stress"
"23","m1t3u43r",2019-02-27,2019-02-27 12:23:46,2,"stress"
"24","m1t3u43r",2019-03-01,2019-03-01 13:58:57,0,"stress"
"25","m1t3u43r",2019-03-03,2019-03-03 22:07:37,1,"stress"
"26","m1t3u43r",2019-03-06,2019-03-06 21:01:09,2,"stress"
"27","m1t3u43r",2019-02-14,2019-02-14 22:26:01,1,"content"
"28","m1t3u43r",2019-02-15,2019-02-15 21:01:55,1,"content"
"29","m1t3u43r",2019-02-17,2019-02-18 10:47:00,1,"content"
"30","m1t3u43r",2019-02-19,2019-02-19 21:45:07,1,"content"
"31","m1t3u43r",2019-02-20,2019-02-20 21:03:04,1,"content"
"32","m1t3u43r",2019-02-21,2019-02-21 21:19:37,1,"content"
"33","m1t3u43r",2019-02-22,2019-02-22 22:14:52,2,"content"
"34","m1t3u43r",2019-02-23,2019-02-23 21:09:08,2,"content"
"35","m1t3u43r",2019-02-25,2019-02-26 10:01:03,1,"content"
"36","m1t3u43r",2019-02-27,2019-02-27 12:23:46,2,"content"
"37","m1t3u43r",2019-03-01,2019-03-01 13:58:57,2,"content"
"38","m1t3u43r",2019-03-03,2019-03-03 22:07:37,2,"content"
"39","m1t3u43r",2019-03-06,2019-03-06 21:01:09,2,"content"
"40","m1t3u43r",2019-02-14,2019-02-14 22:26:01,0,"lonely"
"41","m1t3u43r",2019-02-15,2019-02-15 21:01:55,0,"lonely"
"42","m1t3u43r",2019-02-17,2019-02-18 10:47:00,0,"lonely"
"43","m1t3u43r",2019-02-19,2019-02-19 21:45:07,0,"lonely"
"44","m1t3u43r",2019-02-20,2019-02-20 21:03:04,0,"lonely"
"45","m1t3u43r",2019-02-21,2019-02-21 21:19:37,0,"lonely"
"46","m1t3u43r",2019-02-22,2019-02-22 22:14:52,0,"lonely"
"47","m1t3u43r",2019-02-23,2019-02-23 21:09:08,0,"lonely"
"48","m1t3u43r",2019-02-25,2019-02-26 10:01:03,1,"lonely"
"49","m1t3u43r",2019-02-27,2019-02-27 12:23:46,0,"lonely"
"50","m1t3u43r",2019-03-01,2019-03-01 13:58:57,0,"lonely"
"51","m1t3u43r",2019-03-03,2019-03-03 22:07:37,0,"lonely"
