"","pid","survey.date","local.time","answer","variable"
"1","m2nag76p",2019-02-16,2019-02-16 21:41:56,1,"sad"
"2","m2nag76p",2019-02-17,2019-02-17 21:06:16,1,"sad"
"3","m2nag76p",2019-02-18,2019-02-19 10:39:04,0,"sad"
"4","m2nag76p",2019-02-19,2019-02-19 21:49:24,2,"sad"
"5","m2nag76p",2019-02-20,2019-02-20 21:05:04,3,"sad"
"6","m2nag76p",2019-02-21,2019-02-22 02:22:54,2,"sad"
"7","m2nag76p",2019-02-23,2019-02-23 23:35:20,1,"sad"
"8","m2nag76p",2019-02-24,2019-02-24 23:14:15,0,"sad"
"9","m2nag76p",2019-02-25,2019-02-25 21:47:22,1,"sad"
"10","m2nag76p",2019-02-26,2019-02-26 21:16:36,1,"sad"
"11","m2nag76p",2019-03-01,2019-03-02 00:47:06,1,"sad"
"12","m2nag76p",2019-03-02,2019-03-02 21:25:20,1,"sad"
"13","m2nag76p",2019-03-03,2019-03-03 21:16:30,0,"sad"
"14","m2nag76p",2019-03-04,2019-03-04 21:13:20,1,"sad"
"15","m2nag76p",2019-03-05,2019-03-05 21:06:50,0,"sad"
"16","m2nag76p",2019-03-07,2019-03-07 22:01:11,1,"sad"
"17","m2nag76p",2019-03-08,2019-03-08 23:22:38,1,"sad"
"18","m2nag76p",2019-03-10,2019-03-10 22:01:48,0,"sad"
"19","m2nag76p",2019-02-16,2019-02-16 21:41:56,1,"stress"
"20","m2nag76p",2019-02-17,2019-02-17 21:06:16,1,"stress"
"21","m2nag76p",2019-02-18,2019-02-19 10:39:04,2,"stress"
"22","m2nag76p",2019-02-19,2019-02-19 21:49:24,3,"stress"
"23","m2nag76p",2019-02-20,2019-02-20 21:05:04,2,"stress"
"24","m2nag76p",2019-02-21,2019-02-22 02:22:54,2,"stress"
"25","m2nag76p",2019-02-23,2019-02-23 23:35:20,1,"stress"
"26","m2nag76p",2019-02-24,2019-02-24 23:14:15,1,"stress"
"27","m2nag76p",2019-02-25,2019-02-25 21:47:22,1,"stress"
"28","m2nag76p",2019-02-26,2019-02-26 21:16:36,1,"stress"
"29","m2nag76p",2019-03-01,2019-03-02 00:47:06,2,"stress"
"30","m2nag76p",2019-03-02,2019-03-02 21:25:20,1,"stress"
"31","m2nag76p",2019-03-03,2019-03-03 21:16:30,1,"stress"
"32","m2nag76p",2019-03-04,2019-03-04 21:13:20,1,"stress"
"33","m2nag76p",2019-03-05,2019-03-05 21:06:50,1,"stress"
"34","m2nag76p",2019-03-07,2019-03-07 22:01:11,2,"stress"
"35","m2nag76p",2019-03-08,2019-03-08 23:22:38,1,"stress"
"36","m2nag76p",2019-03-10,2019-03-10 22:01:48,1,"stress"
"37","m2nag76p",2019-02-16,2019-02-16 21:41:56,2,"content"
"38","m2nag76p",2019-02-17,2019-02-17 21:06:16,2,"content"
"39","m2nag76p",2019-02-18,2019-02-19 10:39:04,2,"content"
"40","m2nag76p",2019-02-19,2019-02-19 21:49:24,1,"content"
"41","m2nag76p",2019-02-20,2019-02-20 21:05:04,0,"content"
"42","m2nag76p",2019-02-21,2019-02-22 02:22:54,1,"content"
"43","m2nag76p",2019-02-23,2019-02-23 23:35:20,2,"content"
"44","m2nag76p",2019-02-24,2019-02-24 23:14:15,2,"content"
"45","m2nag76p",2019-02-25,2019-02-25 21:47:22,2,"content"
"46","m2nag76p",2019-02-26,2019-02-26 21:16:36,2,"content"
"47","m2nag76p",2019-03-01,2019-03-02 00:47:06,1,"content"
"48","m2nag76p",2019-03-02,2019-03-02 21:25:20,2,"content"
"49","m2nag76p",2019-03-03,2019-03-03 21:16:30,2,"content"
"50","m2nag76p",2019-03-04,2019-03-04 21:13:20,1,"content"
"51","m2nag76p",2019-03-05,2019-03-05 21:06:50,2,"content"
"52","m2nag76p",2019-03-07,2019-03-07 22:01:11,1,"content"
"53","m2nag76p",2019-03-08,2019-03-08 23:22:38,2,"content"
"54","m2nag76p",2019-03-10,2019-03-10 22:01:48,2,"content"
"55","m2nag76p",2019-02-16,2019-02-16 21:41:56,1,"lonely"
"56","m2nag76p",2019-02-17,2019-02-17 21:06:16,0,"lonely"
"57","m2nag76p",2019-02-18,2019-02-19 10:39:04,0,"lonely"
"58","m2nag76p",2019-02-19,2019-02-19 21:49:24,1,"lonely"
"59","m2nag76p",2019-02-20,2019-02-20 21:05:04,2,"lonely"
"60","m2nag76p",2019-02-21,2019-02-22 02:22:54,1,"lonely"
"61","m2nag76p",2019-02-23,2019-02-23 23:35:20,1,"lonely"
"62","m2nag76p",2019-02-24,2019-02-24 23:14:15,0,"lonely"
"63","m2nag76p",2019-02-25,2019-02-25 21:47:22,1,"lonely"
"64","m2nag76p",2019-02-26,2019-02-26 21:16:36,1,"lonely"
"65","m2nag76p",2019-03-01,2019-03-02 00:47:06,1,"lonely"
"66","m2nag76p",2019-03-02,2019-03-02 21:25:20,1,"lonely"
"67","m2nag76p",2019-03-03,2019-03-03 21:16:30,1,"lonely"
"68","m2nag76p",2019-03-04,2019-03-04 21:13:20,1,"lonely"
"69","m2nag76p",2019-03-05,2019-03-05 21:06:50,1,"lonely"
"70","m2nag76p",2019-03-07,2019-03-07 22:01:11,1,"lonely"
"71","m2nag76p",2019-03-08,2019-03-08 23:22:38,1,"lonely"
"72","m2nag76p",2019-03-10,2019-03-10 22:01:48,0,"lonely"
"73","m2nag76p",2019-02-16,2019-02-16 21:41:56,2,"energy"
"74","m2nag76p",2019-02-17,2019-02-17 21:06:16,2,"energy"
"75","m2nag76p",2019-02-18,2019-02-19 10:39:04,2,"energy"
"76","m2nag76p",2019-02-19,2019-02-19 21:49:24,2,"energy"
"77","m2nag76p",2019-02-20,2019-02-20 21:05:04,1,"energy"
"78","m2nag76p",2019-02-21,2019-02-22 02:22:54,1,"energy"
"79","m2nag76p",2019-02-23,2019-02-23 23:35:20,2,"energy"
"80","m2nag76p",2019-02-24,2019-02-24 23:14:15,2,"energy"
"81","m2nag76p",2019-02-25,2019-02-25 21:47:22,2,"energy"
"82","m2nag76p",2019-02-26,2019-02-26 21:16:36,2,"energy"
"83","m2nag76p",2019-03-01,2019-03-02 00:47:06,2,"energy"
"84","m2nag76p",2019-03-02,2019-03-02 21:25:20,2,"energy"
"85","m2nag76p",2019-03-03,2019-03-03 21:16:30,2,"energy"
"86","m2nag76p",2019-03-04,2019-03-04 21:13:20,2,"energy"
"87","m2nag76p",2019-03-05,2019-03-05 21:06:50,2,"energy"
"88","m2nag76p",2019-03-07,2019-03-07 22:01:11,2,"energy"
"89","m2nag76p",2019-03-08,2019-03-08 23:22:38,2,"energy"
"90","m2nag76p",2019-03-10,2019-03-10 22:01:48,2,"energy"
"91","m2nag76p",2019-02-17,2019-02-17 11:53:22,9,"sleep"
"92","m2nag76p",2019-02-18,2019-02-18 10:54:03,8,"sleep"
"93","m2nag76p",2019-02-19,2019-02-19 10:41:00,7,"sleep"
"94","m2nag76p",2019-02-20,2019-02-20 12:06:10,0,"sleep"
"95","m2nag76p",2019-02-23,2019-02-23 16:38:19,8,"sleep"
"96","m2nag76p",2019-02-24,2019-02-24 13:24:11,6,"sleep"
"97","m2nag76p",2019-02-25,2019-02-25 12:14:48,10,"sleep"
"98","m2nag76p",2019-02-26,2019-02-26 12:35:20,5,"sleep"
"99","m2nag76p",2019-02-27,2019-02-27 15:00:57,7,"sleep"
"100","m2nag76p",2019-03-01,2019-03-01 11:52:09,6,"sleep"
"101","m2nag76p",2019-02-17,2019-02-17 11:53:22,2,"refreshed"
"102","m2nag76p",2019-02-18,2019-02-18 10:54:03,3,"refreshed"
"103","m2nag76p",2019-02-19,2019-02-19 10:41:00,2,"refreshed"
"104","m2nag76p",2019-02-20,2019-02-20 12:06:10,0,"refreshed"
"105","m2nag76p",2019-02-21,2019-02-21 09:18:45,2,"refreshed"
"106","m2nag76p",2019-02-23,2019-02-23 16:38:19,2,"refreshed"
