"","pid","survey.date","local.time","answer","variable"
"1","m45zhiui",2019-02-14,2019-02-14 22:21:05,1,"sad"
"2","m45zhiui",2019-02-16,2019-02-16 21:03:18,1,"sad"
"3","m45zhiui",2019-02-17,2019-02-17 21:18:18,0,"sad"
"4","m45zhiui",2019-02-20,2019-02-20 21:24:39,1,"sad"
"5","m45zhiui",2019-02-21,2019-02-21 21:52:24,1,"sad"
"6","m45zhiui",2019-02-23,2019-02-23 21:14:40,2,"sad"
"7","m45zhiui",2019-02-25,2019-02-25 23:09:49,1,"sad"
"8","m45zhiui",2019-02-28,2019-03-01 00:17:26,1,"sad"
"9","m45zhiui",2019-03-01,2019-03-01 21:21:29,2,"sad"
"10","m45zhiui",2019-03-02,2019-03-02 21:02:23,1,"sad"
"11","m45zhiui",2019-03-03,2019-03-03 21:44:14,1,"sad"
"12","m45zhiui",2019-03-08,2019-03-08 22:20:15,1,"sad"
"13","m45zhiui",2019-03-09,2019-03-09 21:31:09,0,"sad"
"14","m45zhiui",2019-03-11,2019-03-11 21:13:44,2,"sad"
"15","m45zhiui",2019-02-14,2019-02-14 22:21:05,2,"stress"
"16","m45zhiui",2019-02-16,2019-02-16 21:03:18,1,"stress"
"17","m45zhiui",2019-02-17,2019-02-17 21:18:18,1,"stress"
"18","m45zhiui",2019-02-20,2019-02-20 21:24:39,2,"stress"
"19","m45zhiui",2019-02-21,2019-02-21 21:52:24,3,"stress"
"20","m45zhiui",2019-02-23,2019-02-23 21:14:40,1,"stress"
"21","m45zhiui",2019-02-25,2019-02-25 23:09:49,2,"stress"
"22","m45zhiui",2019-02-28,2019-03-01 00:17:26,1,"stress"
"23","m45zhiui",2019-03-01,2019-03-01 21:21:29,2,"stress"
"24","m45zhiui",2019-03-02,2019-03-02 21:02:23,1,"stress"
"25","m45zhiui",2019-03-03,2019-03-03 21:44:14,2,"stress"
"26","m45zhiui",2019-03-08,2019-03-08 22:20:15,1,"stress"
"27","m45zhiui",2019-03-09,2019-03-09 21:31:09,2,"stress"
"28","m45zhiui",2019-03-11,2019-03-11 21:13:44,2,"stress"
"29","m45zhiui",2019-02-14,2019-02-14 22:21:05,1,"content"
"30","m45zhiui",2019-02-16,2019-02-16 21:03:18,1,"content"
"31","m45zhiui",2019-02-17,2019-02-17 21:18:18,1,"content"
"32","m45zhiui",2019-02-20,2019-02-20 21:24:39,0,"content"
"33","m45zhiui",2019-02-21,2019-02-21 21:52:24,1,"content"
"34","m45zhiui",2019-02-23,2019-02-23 21:14:40,0,"content"
"35","m45zhiui",2019-02-25,2019-02-25 23:09:49,1,"content"
"36","m45zhiui",2019-02-28,2019-03-01 00:17:26,1,"content"
"37","m45zhiui",2019-03-01,2019-03-01 21:21:29,2,"content"
"38","m45zhiui",2019-03-02,2019-03-02 21:02:23,1,"content"
"39","m45zhiui",2019-03-03,2019-03-03 21:44:14,1,"content"
"40","m45zhiui",2019-03-08,2019-03-08 22:20:15,1,"content"
"41","m45zhiui",2019-03-09,2019-03-09 21:31:09,0,"content"
"42","m45zhiui",2019-03-11,2019-03-11 21:13:44,1,"content"
"43","m45zhiui",2019-02-14,2019-02-14 22:21:05,1,"lonely"
"44","m45zhiui",2019-02-16,2019-02-16 21:03:18,1,"lonely"
"45","m45zhiui",2019-02-17,2019-02-17 21:18:18,1,"lonely"
"46","m45zhiui",2019-02-20,2019-02-20 21:24:39,1,"lonely"
"47","m45zhiui",2019-02-21,2019-02-21 21:52:24,0,"lonely"
