"","pid","survey.date","local.time","answer","variable"
"1","mhr41udn",2019-02-14,2019-02-14 21:03:16,1,"sad"
"2","mhr41udn",2019-02-15,2019-02-15 21:00:45,2,"sad"
"3","mhr41udn",2019-02-16,2019-02-16 21:15:27,2,"sad"
"4","mhr41udn",2019-02-17,2019-02-17 21:02:52,2,"sad"
"5","mhr41udn",2019-02-18,2019-02-18 21:14:20,2,"sad"
"6","mhr41udn",2019-02-19,2019-02-19 21:08:10,3,"sad"
"7","mhr41udn",2019-02-20,2019-02-20 21:51:37,1,"sad"
"8","mhr41udn",2019-02-21,2019-02-21 21:01:15,1,"sad"
"9","mhr41udn",2019-02-22,2019-02-22 21:07:40,3,"sad"
"10","mhr41udn",2019-02-23,2019-02-23 21:38:27,3,"sad"
"11","mhr41udn",2019-02-24,2019-02-24 21:06:07,3,"sad"
"12","mhr41udn",2019-02-25,2019-02-25 21:03:13,3,"sad"
"13","mhr41udn",2019-02-26,2019-02-26 21:00:54,3,"sad"
"14","mhr41udn",2019-02-27,2019-02-27 21:54:41,3,"sad"
"15","mhr41udn",2019-02-28,2019-02-28 21:00:58,2,"sad"
"16","mhr41udn",2019-03-01,2019-03-01 21:00:48,3,"sad"
"17","mhr41udn",2019-03-02,2019-03-02 21:01:18,3,"sad"
"18","mhr41udn",2019-03-03,2019-03-03 21:00:59,3,"sad"
"19","mhr41udn",2019-03-04,2019-03-04 21:02:09,2,"sad"
"20","mhr41udn",2019-03-05,2019-03-05 21:02:59,2,"sad"
"21","mhr41udn",2019-03-06,2019-03-06 21:06:39,2,"sad"
"22","mhr41udn",2019-03-07,2019-03-07 21:00:43,2,"sad"
"23","mhr41udn",2019-03-08,2019-03-08 22:02:39,2,"sad"
"24","mhr41udn",2019-03-09,2019-03-09 21:02:03,2,"sad"
"25","mhr41udn",2019-03-11,2019-03-11 21:01:41,3,"sad"
"26","mhr41udn",2019-03-12,2019-03-12 21:00:28,3,"sad"
"27","mhr41udn",2019-02-14,2019-02-14 21:03:16,1,"stress"
"28","mhr41udn",2019-02-15,2019-02-15 21:00:45,1,"stress"
"29","mhr41udn",2019-02-16,2019-02-16 21:15:27,2,"stress"
"30","mhr41udn",2019-02-17,2019-02-17 21:02:52,2,"stress"
"31","mhr41udn",2019-02-18,2019-02-18 21:14:20,3,"stress"
"32","mhr41udn",2019-02-19,2019-02-19 21:08:10,3,"stress"
"33","mhr41udn",2019-02-20,2019-02-20 21:51:37,1,"stress"
"34","mhr41udn",2019-02-21,2019-02-21 21:01:15,2,"stress"
"35","mhr41udn",2019-02-22,2019-02-22 21:07:40,2,"stress"
"36","mhr41udn",2019-02-23,2019-02-23 21:38:27,3,"stress"
"37","mhr41udn",2019-02-24,2019-02-24 21:06:07,3,"stress"
"38","mhr41udn",2019-02-25,2019-02-25 21:03:13,3,"stress"
"39","mhr41udn",2019-02-26,2019-02-26 21:00:54,3,"stress"
"40","mhr41udn",2019-02-27,2019-02-27 21:54:41,3,"stress"
"41","mhr41udn",2019-02-28,2019-02-28 21:00:58,3,"stress"
"42","mhr41udn",2019-03-01,2019-03-01 21:00:48,3,"stress"
"43","mhr41udn",2019-03-02,2019-03-02 21:01:18,3,"stress"
"44","mhr41udn",2019-03-03,2019-03-03 21:00:59,3,"stress"
"45","mhr41udn",2019-03-04,2019-03-04 21:02:09,3,"stress"
"46","mhr41udn",2019-03-05,2019-03-05 21:02:59,1,"stress"
"47","mhr41udn",2019-03-06,2019-03-06 21:06:39,2,"stress"
"48","mhr41udn",2019-03-07,2019-03-07 21:00:43,2,"stress"
"49","mhr41udn",2019-03-08,2019-03-08 22:02:39,3,"stress"
"50","mhr41udn",2019-03-09,2019-03-09 21:02:03,2,"stress"
"51","mhr41udn",2019-03-11,2019-03-11 21:01:41,3,"stress"
"52","mhr41udn",2019-03-12,2019-03-12 21:00:28,3,"stress"
"53","mhr41udn",2019-02-14,2019-02-14 21:03:16,2,"content"
"54","mhr41udn",2019-02-15,2019-02-15 21:00:45,1,"content"
"55","mhr41udn",2019-02-16,2019-02-16 21:15:27,2,"content"
"56","mhr41udn",2019-02-17,2019-02-17 21:02:52,1,"content"
"57","mhr41udn",2019-02-18,2019-02-18 21:14:20,1,"content"
"58","mhr41udn",2019-02-19,2019-02-19 21:08:10,0,"content"
"59","mhr41udn",2019-02-20,2019-02-20 21:51:37,1,"content"
"60","mhr41udn",2019-02-21,2019-02-21 21:01:15,1,"content"
"61","mhr41udn",2019-02-22,2019-02-22 21:07:40,1,"content"
"62","mhr41udn",2019-02-23,2019-02-23 21:38:27,0,"content"
"63","mhr41udn",2019-02-24,2019-02-24 21:06:07,0,"content"
"64","mhr41udn",2019-02-25,2019-02-25 21:03:13,0,"content"
"65","mhr41udn",2019-02-26,2019-02-26 21:00:54,0,"content"
"66","mhr41udn",2019-02-27,2019-02-27 21:54:41,0,"content"
