"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","nuwrhblq",2019-02-14 09:01:57,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Text messaging on the phone;Emailing;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"2","nuwrhblq",2019-02-14 15:01:36,1,1,2,0,1,"[Campus]","[No one; alone]","[Resting; napping; doing nothing]","[Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"3","nuwrhblq",2019-02-14 18:01:00,0,1,1,0,1,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam]","[Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"4","nuwrhblq",2019-02-15 18:25:30,0,1,2,0,3,"[Work]","[Co-workers]","[Working at job]","[Talking in person;Text messaging on the phone]"
"5","nuwrhblq",2019-02-16 12:00:47,0,1,1,0,2,"[Work]","[Co-workers]","[Working at job]","[Talking in person;Talking on the phone;Text messaging on the phone]"
"6","nuwrhblq",2019-02-17 14:57:12,0,0,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"7","nuwrhblq",2019-02-17 21:29:05,0,0,2,0,3,"[Work]","[Co-workers;Strangers]","[Talking; texting; socializing;Working at job]","[Talking in person;Talking on the phone]"
"8","nuwrhblq",2019-02-19 15:25:55,1,2,1,0,1,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Interacting on Snapchat]"
"9","nuwrhblq",2019-02-20 10:28:07,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"10","nuwrhblq",2019-02-20 12:03:00,0,1,1,0,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone;Emailing;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"11","nuwrhblq",2019-02-20 21:00:57,0,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"12","nuwrhblq",2019-02-21 21:28:48,0,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"13","nuwrhblq",2019-02-23 15:23:58,0,1,0,0,1,"[Work]","[Co-workers]","[Watching TV; movies;Working at job]","[Talking in person;Talking on the phone]"
"14","nuwrhblq",2019-02-25 06:34:59,0,1,0,0,2,"[Work]","[Co-workers;Strangers]","[Working at job]","[Talking in person;Talking on the phone]"
"15","nuwrhblq",2019-02-25 08:25:42,0,2,1,0,2,"[Work]","[Co-workers]","[Working at job]","[Talking in person;Talking on the phone]"
"16","nuwrhblq",2019-02-25 12:06:40,0,0,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings;Browsing the Internet; using social media]","[Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"17","nuwrhblq",2019-02-26 09:09:17,0,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"18","nuwrhblq",2019-02-26 19:33:21,0,0,2,0,3,"[Campus]","[Classmates; students;Family]","[Attending classes; meetings;Browsing the Internet; using social media]","[Talking in person;Other form of social interaction]"
"19","nuwrhblq",2019-02-27 09:01:12,0,0,2,0,3,"[Campus]","[No one; alone]","[Attending classes; meetings;Browsing the Internet; using social media]","[Text messaging on the phone]"
"20","nuwrhblq",2019-02-27 12:00:35,0,1,2,0,3,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking]","[Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"21","nuwrhblq",2019-02-28 09:12:35,0,0,0,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"22","nuwrhblq",2019-02-28 20:08:04,0,0,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"23","nuwrhblq",2019-03-02 15:20:59,0,1,2,0,3,"[Campus]","[Co-workers]","[Working at job]","[Other form of social interaction]"
"24","nuwrhblq",2019-03-02 23:32:36,0,1,1,0,3,"[Work]","[Co-workers;Strangers]","[Working at job]","[Talking in person;Talking on the phone]"
"25","nuwrhblq",2019-03-03 18:01:08,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Talking on the phone;Other form of social interaction]"
"26","nuwrhblq",2019-03-05 08:08:52,0,1,2,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Other form of social interaction;Not applicable; was not interacting with anyone]"
"27","nuwrhblq",2019-03-05 19:19:57,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Resting; napping; doing nothing]","[Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"28","nuwrhblq",2019-03-06 21:06:25,0,1,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"29","nuwrhblq",2019-03-07 12:01:27,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Text messaging on the phone;Other form of social interaction]"
"30","nuwrhblq",2019-03-08 08:03:51,0,1,2,0,2,"[Campus]","[No one; alone;Strangers]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Other form of social interaction]"
"31","nuwrhblq",2019-03-09 09:02:32,0,0,3,0,4,"[Home (dorm; apartment)]","[Family;Significant Other]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Other form of social interaction]"
"32","nuwrhblq",2019-03-09 21:03:05,0,0,3,0,3,"[Home (dorm; apartment)]","[Co-workers]","[Browsing the Internet; using social media;Exercising; physical activity; sports;Resting; napping; doing nothing]","[Talking in person]"
"33","nuwrhblq",2019-03-10 16:00:42,0,0,3,0,3,"[Home (dorm; apartment)]","[Family]","[Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"34","nuwrhblq",2019-03-11 10:16:37,0,0,3,0,3,"[Friend's house]","[Significant Other]","[None of the above; Other]","[Talking in person]"
"35","nuwrhblq",2019-03-16 21:08:20,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Talking in person;Talking on the phone;Other form of social interaction]"
