"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","o12clt4j",2019-02-14 09:16:39,0,1,1,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"2","o12clt4j",2019-02-14 12:03:48,0,0,1,0,2,"[Campus;Library]","[Strangers]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Interacting on Snapchat;Interacting on Twitter]"
"3","o12clt4j",2019-02-14 15:44:41,1,1,1,1,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Attending classes; meetings;Browsing the Internet; using social media]","[Interacting on Snapchat;Interacting on Twitter]"
"4","o12clt4j",2019-02-14 21:02:02,0,0,2,1,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Eating; drinking;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"5","o12clt4j",2019-02-15 09:33:13,0,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"6","o12clt4j",2019-02-15 13:44:00,0,0,1,0,1,"[Campus;Library]","[Classmates; students]","[Attending classes; meetings;Browsing the Internet; using social media;Talking; texting; socializing]","[Talking in person;Interacting on Snapchat]"
"7","o12clt4j",2019-02-15 15:41:19,1,1,1,1,2,"[Campus]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"8","o12clt4j",2019-02-15 19:23:33,0,0,2,0,1,"[Home (dorm; apartment)]","[Friends;Roommates]","[Watching TV; movies]","[Talking in person]"
"9","o12clt4j",2019-02-16 10:50:31,0,1,1,0,1,"[Campus;Vehicle]","[Friends]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Other form of social interaction]"
"10","o12clt4j",2019-02-16 14:47:30,0,2,2,1,3,"[Religious facility]","[Roommates]","[Eating; drinking]","[Chatting on a dating app]"
"11","o12clt4j",2019-02-17 09:56:17,0,1,3,0,3,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"12","o12clt4j",2019-02-17 16:43:45,0,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"13","o12clt4j",2019-02-18 12:32:44,0,1,0,0,1,"[Home (dorm; apartment);Vehicle]","[Friends;Roommates]","[Commuting; traveling]","[Talking in person]"
"14","o12clt4j",2019-02-18 15:30:28,0,1,2,0,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Talking in person]"
"15","o12clt4j",2019-02-18 18:46:01,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"16","o12clt4j",2019-02-19 09:30:34,0,0,1,0,1,"[Campus;Vehicle]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"17","o12clt4j",2019-02-20 12:55:33,0,0,2,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"18","o12clt4j",2019-02-20 15:48:18,0,1,2,0,2,"[Home (dorm; apartment)]","[Family;Friends;Roommates]","[Doing household chores; running errands]","[Talking in person]"
"19","o12clt4j",2019-02-21 09:00:58,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
