"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","o1vwxdxx",2019-02-14 09:09:16,0,1,1,0,2,"[Friend's house]","[No one; alone]","[Browsing the Internet; using social media]","[Text messaging on the phone;Interacting on Snapchat]"
"2","o1vwxdxx",2019-02-14 12:01:14,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Text messaging on the phone]"
"3","o1vwxdxx",2019-02-14 18:02:35,0,0,2,0,2,"[Store / Mall;Vehicle]","[Friends;Strangers]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person]"
"4","o1vwxdxx",2019-02-15 09:57:08,0,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"5","o1vwxdxx",2019-02-15 12:14:38,0,0,2,0,2,"[Fraternity; Sorority House]","[Friends;Strangers]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"6","o1vwxdxx",2019-02-15 15:58:59,0,1,1,0,1,"[Vehicle]","[None of the above; Other]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"7","o1vwxdxx",2019-02-15 18:00:58,1,2,0,0,1,"[Friend's house]","[Significant Other]","[Watching TV; movies]","[Talking in person;Text messaging on the phone]"
"8","o1vwxdxx",2019-02-16 13:13:40,0,1,2,0,1,"[Friend's house]","[Significant Other]","[Resting; napping; doing nothing]","[Talking in person]"
"9","o1vwxdxx",2019-02-16 16:15:21,0,0,2,0,2,"[Friend's house]","[Significant Other]","[Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[Talking in person]"
"10","o1vwxdxx",2019-02-17 18:04:37,0,1,0,0,1,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"11","o1vwxdxx",2019-02-18 10:10:43,0,1,2,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"12","o1vwxdxx",2019-02-18 12:51:27,0,0,2,0,2,"[Cafe; Restaurant]","[Family]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"13","o1vwxdxx",2019-02-18 15:01:24,0,0,2,0,2,"[Vehicle]","[Family]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person]"
"14","o1vwxdxx",2019-02-18 18:26:53,0,1,2,0,2,"[Friend's house]","[Friends]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"15","o1vwxdxx",2019-02-19 09:24:22,0,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"16","o1vwxdxx",2019-02-19 12:29:05,0,2,1,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"17","o1vwxdxx",2019-02-19 15:04:04,0,1,2,0,2,"[Home (dorm; apartment)]","[Family]","[Studying; reading; preparing for an exam]","[Talking in person;Interacting on Snapchat]"
"18","o1vwxdxx",2019-02-20 12:04:14,0,1,1,0,2,"[Work]","[Co-workers;Strangers]","[Working at job]","[Talking in person]"
"19","o1vwxdxx",2019-02-20 16:02:22,0,2,1,0,2,"[Work]","[Co-workers;Strangers]","[Working at job]","[Talking in person]"
"20","o1vwxdxx",2019-02-20 18:34:08,0,1,1,0,2,"[Friend's house]","[Friends]","[Eating; drinking;Watching TV; movies]","[Talking in person]"
"21","o1vwxdxx",2019-02-21 09:10:13,0,2,1,0,1,"[Campus]","[Classmates; students;Strangers]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"22","o1vwxdxx",2019-02-22 00:26:51,0,0,2,0,2,"[Friend's house]","[Friends]","[Studying; reading; preparing for an exam]","[Talking in person;Interacting on Snapchat]"
"23","o1vwxdxx",2019-02-22 10:02:26,0,0,1,0,2,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings]","[Talking in person]"
"24","o1vwxdxx",2019-02-22 13:08:37,0,0,1,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"25","o1vwxdxx",2019-02-22 17:01:32,0,2,1,0,2,"[Work]","[Co-workers;Strangers]","[Working at job]","[Talking in person]"
"26","o1vwxdxx",2019-02-22 18:54:07,0,0,2,0,2,"[Cafe; Restaurant]","[Family;Friends;Strangers]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"27","o1vwxdxx",2019-02-23 09:59:14,0,1,1,0,2,"[Home (dorm; apartment)]","[Family]","[None of the above; Other]","[Talking in person;Interacting on Snapchat]"
"28","o1vwxdxx",2019-02-23 14:24:28,0,0,1,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"29","o1vwxdxx",2019-02-23 16:04:34,0,1,1,0,2,"[Work]","[Co-workers;Strangers]","[Working at job]","[Talking in person]"
"30","o1vwxdxx",2019-02-23 18:48:52,0,1,1,0,2,"[Work]","[Co-workers;Strangers]","[Working at job]","[Talking in person]"
"31","o1vwxdxx",2019-02-24 09:25:58,0,0,3,0,2,"[None of the above; Other]","[Family;Strangers]","[None of the above; Other]","[Talking in person]"
"32","o1vwxdxx",2019-02-24 12:33:56,0,0,2,0,2,"[Cafe; Restaurant]","[Family;Strangers]","[Eating; drinking]","[Talking in person]"
"33","o1vwxdxx",2019-02-24 16:16:34,0,2,1,0,2,"[Work]","[Co-workers;Strangers]","[Working at job]","[Talking in person]"
"34","o1vwxdxx",2019-02-24 20:52:55,0,0,2,0,2,"[Vehicle]","[No one; alone]","[Eating; drinking;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"35","o1vwxdxx",2019-02-25 10:02:33,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"36","o1vwxdxx",2019-02-25 12:58:27,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"37","o1vwxdxx",2019-02-25 15:10:35,0,0,1,0,2,"[Campus]","[Classmates; students;Strangers]","[Exercising; physical activity; sports]","[Not applicable; was not interacting with anyone]"
