"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","obifw5al",2019-02-14 09:19:09,0,0,3,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"2","obifw5al",2019-02-14 13:02:21,0,3,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"3","obifw5al",2019-02-14 15:07:47,0,0,3,0,3,"[Home (dorm; apartment)]","[Roommates]","[Doing household chores; running errands]","[Talking in person]"
"4","obifw5al",2019-02-15 11:03:26,0,0,3,0,4,"[Store / Mall]","[Strangers]","[Doing household chores; running errands]","[Talking in person]"
"5","obifw5al",2019-02-15 12:20:56,0,0,2,0,3,"[Gym]","[Strangers]","[Exercising; physical activity; sports;None of the above; Other]","[Not applicable; was not interacting with anyone]"
"6","obifw5al",2019-02-15 15:29:59,0,0,3,0,3,"[Home (dorm; apartment)]","[None of the above; Other]","[Studying; reading; preparing for an exam]","[Chatting on Whatsapp or other chat app]"
"7","obifw5al",2019-02-15 18:14:30,1,0,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Talking in person]"
"8","obifw5al",2019-02-16 10:38:50,0,0,3,0,3,"[Cafe; Restaurant]","[Family]","[Eating; drinking]","[Talking in person]"
"9","obifw5al",2019-02-16 12:05:24,1,0,2,1,1,"[Home (dorm; apartment)]","[No one; alone;None of the above; Other]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"10","obifw5al",2019-02-16 15:37:55,2,0,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Talking on the phone]"
"11","obifw5al",2019-02-16 19:12:03,0,0,2,0,1,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Talking in person]"
"12","obifw5al",2019-02-17 09:48:22,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"13","obifw5al",2019-02-17 13:05:06,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"14","obifw5al",2019-02-17 15:53:26,1,1,3,2,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
"15","obifw5al",2019-02-17 18:04:34,0,0,3,0,4,"[Cafe; Restaurant]","[Family]","[Eating; drinking]","[Talking in person]"
"16","obifw5al",2019-02-18 09:31:52,0,0,3,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"17","obifw5al",2019-02-18 12:29:58,0,0,3,0,4,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"18","obifw5al",2019-02-18 15:14:42,0,0,3,0,2,"[Library]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"19","obifw5al",2019-02-18 18:56:17,0,0,3,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"20","obifw5al",2019-02-19 09:28:26,0,0,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"21","obifw5al",2019-02-19 16:55:59,0,0,3,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Talking in person]"
"22","obifw5al",2019-02-19 19:32:50,0,0,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"23","obifw5al",2019-02-20 09:16:29,0,0,3,0,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"24","obifw5al",2019-02-20 14:31:43,0,0,3,0,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"25","obifw5al",2019-02-20 17:15:10,0,0,3,0,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"26","obifw5al",2019-02-20 18:06:57,0,0,3,0,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"27","obifw5al",2019-02-21 09:40:25,0,0,3,0,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"28","obifw5al",2019-02-21 13:31:35,0,0,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Chatting on Whatsapp or other chat app]"
"29","obifw5al",2019-02-21 19:56:57,0,0,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Talking in person]"
"30","obifw5al",2019-02-22 09:55:45,0,0,3,0,4,"[Gym]","[Strangers]","[Exercising; physical activity; sports]","[Chatting on Whatsapp or other chat app]"
"31","obifw5al",2019-02-22 15:00:44,0,0,3,0,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"32","obifw5al",2019-02-22 19:23:47,0,0,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Talking in person]"
"33","obifw5al",2019-02-23 10:04:22,0,0,3,0,4,"[Gym]","[Strangers]","[Exercising; physical activity; sports]","[Chatting on Whatsapp or other chat app]"
"34","obifw5al",2019-02-23 14:42:57,0,0,3,0,4,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Talking in person]"
"35","obifw5al",2019-02-23 15:00:49,0,0,3,0,4,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Talking in person]"
