"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ojiebffy",2019-02-14 15:00:31,0,1,3,0,2,"[Campus]","[Strangers]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"2","ojiebffy",2019-02-15 09:01:51,0,1,2,0,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Talking in person]"
"3","ojiebffy",2019-02-15 12:19:59,0,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"4","ojiebffy",2019-02-15 15:00:41,0,1,2,0,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Talking in person]"
"5","ojiebffy",2019-02-15 18:00:41,0,1,3,0,1,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing]","[Talking in person]"
"6","ojiebffy",2019-02-16 12:00:44,0,2,3,0,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"7","ojiebffy",2019-02-16 15:00:33,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"8","ojiebffy",2019-02-16 18:00:46,0,1,3,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone]"
"9","ojiebffy",2019-02-17 12:07:42,0,1,2,0,2,"[Cafe; Restaurant]","[Family]","[Eating; drinking]","[Talking in person]"
"10","ojiebffy",2019-02-17 15:00:38,0,2,2,0,3,"[Home (dorm; apartment)]","[Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"11","ojiebffy",2019-02-17 18:01:18,0,2,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Watching TV; movies]","[Talking in person]"
"12","ojiebffy",2019-02-18 10:44:10,0,1,3,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"13","ojiebffy",2019-02-18 12:01:12,0,2,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"14","ojiebffy",2019-02-18 17:06:19,1,2,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"15","ojiebffy",2019-02-18 21:01:00,0,1,3,0,1,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"16","ojiebffy",2019-02-19 09:48:29,1,2,3,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"17","ojiebffy",2019-02-19 12:25:53,0,1,3,0,3,"[Campus]","[Friends]","[Attending classes; meetings]","[Talking in person]"
"18","ojiebffy",2019-02-19 17:09:57,1,1,2,1,2,"[Home (dorm; apartment)]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"19","ojiebffy",2019-02-19 21:11:12,0,2,2,0,3,"[Home (dorm; apartment)]","[Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"20","ojiebffy",2019-02-20 09:03:30,0,2,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"21","ojiebffy",2019-02-20 12:00:49,1,1,1,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"22","ojiebffy",2019-02-20 15:10:50,0,1,3,0,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"23","ojiebffy",2019-02-21 14:49:13,0,1,2,0,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"24","ojiebffy",2019-02-22 15:13:43,0,1,3,0,3,"[Vehicle]","[Friends]","[Commuting; traveling]","[Talking in person;Talking on the phone]"
"25","ojiebffy",2019-02-23 16:49:03,1,1,3,0,4,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Talking in person]"
"26","ojiebffy",2019-02-23 18:28:11,0,1,2,0,2,"[Bar; Party;Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
