"","pid","survey.date","local.time","answer","variable"
"1","oomczkzh",2019-02-14,2019-02-14 21:04:58,1,"sad"
"2","oomczkzh",2019-02-15,2019-02-15 21:01:26,1,"sad"
"3","oomczkzh",2019-02-17,2019-02-17 21:03:46,1,"sad"
"4","oomczkzh",2019-02-18,2019-02-19 00:26:58,1,"sad"
"5","oomczkzh",2019-02-20,2019-02-21 00:10:00,1,"sad"
"6","oomczkzh",2019-02-27,2019-02-27 21:22:17,1,"sad"
"7","oomczkzh",2019-02-14,2019-02-14 21:04:58,2,"stress"
"8","oomczkzh",2019-02-15,2019-02-15 21:01:26,1,"stress"
"9","oomczkzh",2019-02-17,2019-02-17 21:03:46,3,"stress"
"10","oomczkzh",2019-02-18,2019-02-19 00:26:58,1,"stress"
"11","oomczkzh",2019-02-20,2019-02-21 00:10:00,1,"stress"
"12","oomczkzh",2019-02-27,2019-02-27 21:22:17,1,"stress"
"13","oomczkzh",2019-02-14,2019-02-14 21:04:58,1,"content"
"14","oomczkzh",2019-02-15,2019-02-15 21:01:26,1,"content"
"15","oomczkzh",2019-02-17,2019-02-17 21:03:46,1,"content"
"16","oomczkzh",2019-02-18,2019-02-19 00:26:58,1,"content"
"17","oomczkzh",2019-02-20,2019-02-21 00:10:00,1,"content"
"18","oomczkzh",2019-02-27,2019-02-27 21:22:17,1,"content"
"19","oomczkzh",2019-02-14,2019-02-14 21:04:58,1,"lonely"
"20","oomczkzh",2019-02-15,2019-02-15 21:01:26,1,"lonely"
"21","oomczkzh",2019-02-17,2019-02-17 21:03:46,1,"lonely"
"22","oomczkzh",2019-02-18,2019-02-19 00:26:58,1,"lonely"
"23","oomczkzh",2019-02-20,2019-02-21 00:10:00,1,"lonely"
"24","oomczkzh",2019-02-27,2019-02-27 21:22:17,1,"lonely"
"25","oomczkzh",2019-02-14,2019-02-14 21:04:58,1,"energy"
"26","oomczkzh",2019-02-15,2019-02-15 21:01:26,1,"energy"
"27","oomczkzh",2019-02-17,2019-02-17 21:03:46,2,"energy"
"28","oomczkzh",2019-02-18,2019-02-19 00:26:58,1,"energy"
"29","oomczkzh",2019-02-20,2019-02-21 00:10:00,1,"energy"
"30","oomczkzh",2019-02-27,2019-02-27 21:22:17,1,"energy"
"31","oomczkzh",2019-02-14,2019-02-14 15:15:36,5,"sleep"
"32","oomczkzh",2019-02-15,2019-02-15 13:35:53,5,"sleep"
"33","oomczkzh",2019-02-16,2019-02-16 15:10:52,6,"sleep"
"34","oomczkzh",2019-02-17,2019-02-17 12:03:26,7,"sleep"
"35","oomczkzh",2019-02-18,2019-02-18 13:11:44,5,"sleep"
"36","oomczkzh",2019-02-19,2019-02-19 18:00:55,4,"sleep"
"37","oomczkzh",2019-02-21,2019-02-21 00:10:37,5,"sleep"
"38","oomczkzh",2019-02-27,2019-02-27 21:24:08,5,"sleep"
"39","oomczkzh",2019-02-28,2019-02-28 09:11:19,6,"sleep"
"40","oomczkzh",2019-03-02,2019-03-02 02:20:33,4,"sleep"
"41","oomczkzh",2019-03-03,2019-03-03 13:54:49,4,"sleep"
"42","oomczkzh",2019-03-05,2019-03-05 11:03:23,7,"sleep"
"43","oomczkzh",2019-03-07,2019-03-07 16:36:54,4,"sleep"
"44","oomczkzh",2019-03-08,2019-03-08 09:29:25,3,"sleep"
"45","oomczkzh",2019-02-14,2019-02-14 15:15:36,1,"refreshed"
"46","oomczkzh",2019-02-15,2019-02-15 13:35:53,0,"refreshed"
"47","oomczkzh",2019-02-16,2019-02-16 15:10:52,2,"refreshed"
"48","oomczkzh",2019-02-17,2019-02-17 12:03:26,1,"refreshed"
"49","oomczkzh",2019-02-18,2019-02-18 13:11:44,0,"refreshed"
"50","oomczkzh",2019-02-19,2019-02-19 18:00:55,1,"refreshed"
"51","oomczkzh",2019-02-21,2019-02-21 00:10:37,1,"refreshed"
"52","oomczkzh",2019-02-26,2019-02-26 10:00:09,2,"refreshed"
"53","oomczkzh",2019-02-27,2019-02-27 21:24:08,2,"refreshed"
"54","oomczkzh",2019-02-28,2019-02-28 09:11:19,0,"refreshed"
"55","oomczkzh",2019-03-02,2019-03-02 02:20:33,1,"refreshed"
"56","oomczkzh",2019-03-03,2019-03-03 13:54:49,1,"refreshed"
"57","oomczkzh",2019-03-05,2019-03-05 11:03:23,2,"refreshed"
"58","oomczkzh",2019-03-07,2019-03-07 16:36:54,1,"refreshed"
"59","oomczkzh",2019-03-08,2019-03-08 09:29:25,2,"refreshed"
"60","oomczkzh",2019-02-14,2019-02-14 15:15:36,2,"restful"
"61","oomczkzh",2019-02-15,2019-02-15 13:35:53,2,"restful"
"62","oomczkzh",2019-02-16,2019-02-16 15:10:52,2,"restful"
"63","oomczkzh",2019-02-17,2019-02-17 12:03:26,1,"restful"
"64","oomczkzh",2019-02-18,2019-02-18 13:11:44,1,"restful"
"65","oomczkzh",2019-02-19,2019-02-19 18:00:55,1,"restful"
"66","oomczkzh",2019-02-21,2019-02-21 00:10:37,1,"restful"
"67","oomczkzh",2019-02-26,2019-02-26 10:00:09,1,"restful"
"68","oomczkzh",2019-02-27,2019-02-27 21:24:08,2,"restful"
"69","oomczkzh",2019-02-28,2019-02-28 09:11:19,0,"restful"
"70","oomczkzh",2019-03-02,2019-03-02 02:20:33,0,"restful"
"71","oomczkzh",2019-03-03,2019-03-03 13:54:49,2,"restful"
"72","oomczkzh",2019-03-05,2019-03-05 11:03:23,2,"restful"
"73","oomczkzh",2019-03-07,2019-03-07 16:36:54,1,"restful"
"74","oomczkzh",2019-03-08,2019-03-08 09:29:25,1,"restful"
