"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","oomczkzh",2019-02-14 15:13:32,2,2,0,1,1,"[Campus]","[Friends]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person]"
"2","oomczkzh",2019-02-15 13:34:46,1,2,1,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone;Emailing]"
"3","oomczkzh",2019-02-16 15:10:52,1,1,1,1,1,"[Home (dorm; apartment)]","[None of the above; Other]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"4","oomczkzh",2019-02-16 18:04:55,1,3,0,0,1,"[Campus;Library]","[Classmates; students;Friends]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person;Talking on the phone;Text messaging on the phone;Emailing;Interacting on Facebook]"
"5","oomczkzh",2019-02-17 15:00:52,1,3,1,1,2,"[Campus;Library]","[Friends]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person;Talking on the phone]"
"6","oomczkzh",2019-02-18 13:11:00,1,2,0,1,2,"NO_ANSWER_SELECTED","[Classmates; students;Friends;Strangers]","NO_ANSWER_SELECTED","[Talking in person;Text messaging on the phone;Interacting on Instagram]"
"7","oomczkzh",2019-02-19 18:00:55,0,1,1,1,1,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
"8","oomczkzh",2019-02-25 15:01:18,1,1,1,1,2,"[Vehicle]","[Classmates; students;Friends;Strangers]","[Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"9","oomczkzh",2019-02-25 18:00:45,1,2,1,0,1,"[Home (dorm; apartment)]","[Roommates]","[Doing household chores; running errands]","[Talking in person]"
"10","oomczkzh",2019-02-26 10:00:09,1,1,1,1,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Text messaging on the phone]"
"11","oomczkzh",2019-03-03 13:54:11,1,2,2,1,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Talking in person]"
"12","oomczkzh",2019-03-05 11:03:23,2,2,1,1,1,"[Campus]","[Classmates; students;None of the above; Other]","[Attending classes; meetings]","[Text messaging on the phone]"
"13","oomczkzh",2019-03-05 15:23:55,1,2,2,1,2,"[Campus]","[Friends]","[Eating; drinking]","[Talking in person]"
"14","oomczkzh",2019-03-07 16:35:42,1,1,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"15","oomczkzh",2019-03-08 09:29:25,1,1,1,1,1,"[Campus]","[Co-workers]","[Attending classes; meetings]","[Talking in person]"
