"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","p4wyu7kz",2019-02-14 12:07:26,0,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Interacting on Snapchat]"
"2","p4wyu7kz",2019-02-14 16:23:55,0,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone;Significant Other]","[Attending classes; meetings;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat]"
"3","p4wyu7kz",2019-02-14 19:15:02,0,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"4","p4wyu7kz",2019-02-15 11:26:35,3,2,0,1,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Doing household chores; running errands;None of the above; Other]","[Interacting on Snapchat]"
"5","p4wyu7kz",2019-02-15 13:05:31,2,2,1,1,2,"[Campus;Home (dorm; apartment);Store / Mall]","[No one; alone;Strangers]","[Attending classes; meetings;Eating; drinking]","[Interacting on Snapchat]"
"6","p4wyu7kz",2019-02-16 09:45:48,0,1,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"7","p4wyu7kz",2019-02-16 14:05:24,1,2,0,1,1,"[Cafe; Restaurant]","[No one; alone]","[Eating; drinking;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat]"
"8","p4wyu7kz",2019-02-16 15:57:49,0,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat]"
"9","p4wyu7kz",2019-02-17 14:00:54,1,2,2,0,2,"[Campus;None of the above; Other]","[Family;Strangers]","[Attending classes; meetings;Eating; drinking]","[Not applicable; was not interacting with anyone]"
"10","p4wyu7kz",2019-02-18 11:04:35,1,1,1,1,1,"[Cafe; Restaurant;Campus]","[Roommates;Strangers]","[Commuting; traveling;Studying; reading; preparing for an exam]","[Interacting on Snapchat]"
"11","p4wyu7kz",2019-02-18 16:34:52,0,1,1,0,2,"[Campus]","[Classmates; students;Friends;Strangers]","[Attending classes; meetings]","[Interacting on Snapchat]"
