"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","p79benst",2019-02-14 19:26:18,1,3,2,1,3,"[Home (dorm; apartment)]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Talking in person]"
"2","p79benst",2019-02-18 21:54:02,1,3,3,1,4,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking in person; Chatting on Whatsapp or other chat app]"
"3","p79benst",2019-02-19 12:16:26,0,3,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"4","p79benst",2019-02-19 18:19:21,0,3,2,0,3,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings]","[Talking in person]"
"5","p79benst",2019-02-20 12:50:54,0,3,3,0,3,"[Campus]","[Friends]","[Attending classes; meetings]","[Talking in person]"
"6","p79benst",2019-02-20 17:29:33,0,3,3,0,3,"[Campus]","[Classmates; students; Friends; Roommates]","[Attending classes; meetings]","[Talking in person]"
"7","p79benst",2019-02-20 18:13:12,0,3,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"8","p79benst",2019-02-21 11:30:11,0,3,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Talking in person]"
"9","p79benst",2019-02-21 12:01:48,0,3,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing; Studying; reading; preparing for an exam]","[Talking in person]"
"10","p79benst",2019-02-21 23:22:26,1,3,2,1,3,"[Friend's house]","[Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"11","p79benst",2019-02-22 14:03:19,0,3,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"12","p79benst",2019-02-22 21:01:59,1,3,2,1,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Resting; napping; doing nothing]","[Talking in person]"
"13","p79benst",2019-02-23 09:25:35,0,2,3,0,3,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"14","p79benst",2019-02-23 12:35:33,0,1,2,0,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"15","p79benst",2019-02-23 16:47:42,0,1,2,0,3,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing]","[Talking in person]"
"16","p79benst",2019-02-23 21:30:08,0,1,2,0,4,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing]","[Talking in person]"
"17","p79benst",2019-02-24 21:32:51,0,3,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
