"","pid","survey.date","local.time","answer","variable"
"1","qeh36q67",2019-02-14,2019-02-14 21:02:46,0,"sad"
"2","qeh36q67",2019-02-15,2019-02-15 21:02:15,0,"sad"
"3","qeh36q67",2019-02-16,2019-02-16 22:05:48,0,"sad"
"4","qeh36q67",2019-02-17,2019-02-17 21:34:54,0,"sad"
"5","qeh36q67",2019-02-18,2019-02-18 22:40:57,0,"sad"
"6","qeh36q67",2019-02-19,2019-02-19 22:12:40,0,"sad"
"7","qeh36q67",2019-02-20,2019-02-20 21:06:20,0,"sad"
"8","qeh36q67",2019-02-21,2019-02-21 22:41:59,0,"sad"
"9","qeh36q67",2019-02-27,2019-02-27 21:36:26,0,"sad"
"10","qeh36q67",2019-02-28,2019-02-28 22:39:28,0,"sad"
"11","qeh36q67",2019-03-01,2019-03-01 21:22:54,0,"sad"
"12","qeh36q67",2019-03-04,2019-03-04 21:35:30,0,"sad"
"13","qeh36q67",2019-03-05,2019-03-05 21:55:12,0,"sad"
"14","qeh36q67",2019-03-06,2019-03-06 22:45:18,0,"sad"
"15","qeh36q67",2019-02-14,2019-02-14 21:02:46,1,"stress"
"16","qeh36q67",2019-02-15,2019-02-15 21:02:15,2,"stress"
"17","qeh36q67",2019-02-16,2019-02-16 22:05:48,1,"stress"
"18","qeh36q67",2019-02-17,2019-02-17 21:34:54,1,"stress"
"19","qeh36q67",2019-02-18,2019-02-18 22:40:57,2,"stress"
"20","qeh36q67",2019-02-19,2019-02-19 22:12:40,2,"stress"
"21","qeh36q67",2019-02-20,2019-02-20 21:06:20,2,"stress"
"22","qeh36q67",2019-02-21,2019-02-21 22:41:59,1,"stress"
"23","qeh36q67",2019-02-27,2019-02-27 21:36:26,1,"stress"
"24","qeh36q67",2019-02-28,2019-02-28 22:39:28,2,"stress"
"25","qeh36q67",2019-03-01,2019-03-01 21:22:54,1,"stress"
"26","qeh36q67",2019-03-04,2019-03-04 21:35:30,1,"stress"
"27","qeh36q67",2019-03-05,2019-03-05 21:55:12,1,"stress"
"28","qeh36q67",2019-03-06,2019-03-06 22:45:18,2,"stress"
"29","qeh36q67",2019-02-14,2019-02-14 21:02:46,2,"content"
"30","qeh36q67",2019-02-15,2019-02-15 21:02:15,1,"content"
"31","qeh36q67",2019-02-16,2019-02-16 22:05:48,2,"content"
"32","qeh36q67",2019-02-17,2019-02-17 21:34:54,2,"content"
"33","qeh36q67",2019-02-18,2019-02-18 22:40:57,2,"content"
"34","qeh36q67",2019-02-19,2019-02-19 22:12:40,2,"content"
"35","qeh36q67",2019-02-20,2019-02-20 21:06:20,2,"content"
"36","qeh36q67",2019-02-21,2019-02-21 22:41:59,3,"content"
"37","qeh36q67",2019-02-27,2019-02-27 21:36:26,2,"content"
"38","qeh36q67",2019-02-28,2019-02-28 22:39:28,1,"content"
"39","qeh36q67",2019-03-01,2019-03-01 21:22:54,2,"content"
"40","qeh36q67",2019-03-04,2019-03-04 21:35:30,2,"content"
"41","qeh36q67",2019-03-05,2019-03-05 21:55:12,2,"content"
"42","qeh36q67",2019-03-06,2019-03-06 22:45:18,1,"content"
"43","qeh36q67",2019-02-14,2019-02-14 21:02:46,0,"lonely"
"44","qeh36q67",2019-02-15,2019-02-15 21:02:15,0,"lonely"
"45","qeh36q67",2019-02-16,2019-02-16 22:05:48,0,"lonely"
"46","qeh36q67",2019-02-17,2019-02-17 21:34:54,0,"lonely"
"47","qeh36q67",2019-02-18,2019-02-18 22:40:57,0,"lonely"
"48","qeh36q67",2019-02-19,2019-02-19 22:12:40,0,"lonely"
"49","qeh36q67",2019-02-20,2019-02-20 21:06:20,0,"lonely"
"50","qeh36q67",2019-02-21,2019-02-21 22:41:59,0,"lonely"
"51","qeh36q67",2019-02-27,2019-02-27 21:36:26,0,"lonely"
"52","qeh36q67",2019-02-28,2019-02-28 22:39:28,0,"lonely"
"53","qeh36q67",2019-03-01,2019-03-01 21:22:54,0,"lonely"
"54","qeh36q67",2019-03-04,2019-03-04 21:35:30,0,"lonely"
"55","qeh36q67",2019-03-05,2019-03-05 21:55:12,0,"lonely"
"56","qeh36q67",2019-03-06,2019-03-06 22:45:18,0,"lonely"
"57","qeh36q67",2019-02-14,2019-02-14 21:02:46,2,"energy"
"58","qeh36q67",2019-02-15,2019-02-15 21:02:15,2,"energy"
"59","qeh36q67",2019-02-16,2019-02-16 22:05:48,1,"energy"
"60","qeh36q67",2019-02-17,2019-02-17 21:34:54,2,"energy"
"61","qeh36q67",2019-02-18,2019-02-18 22:40:57,1,"energy"
"62","qeh36q67",2019-02-19,2019-02-19 22:12:40,2,"energy"
"63","qeh36q67",2019-02-20,2019-02-20 21:06:20,2,"energy"
"64","qeh36q67",2019-02-21,2019-02-21 22:41:59,3,"energy"
"65","qeh36q67",2019-02-27,2019-02-27 21:36:26,2,"energy"
"66","qeh36q67",2019-02-28,2019-02-28 22:39:28,2,"energy"
"67","qeh36q67",2019-03-01,2019-03-01 21:22:54,2,"energy"
"68","qeh36q67",2019-03-04,2019-03-04 21:35:30,2,"energy"
"69","qeh36q67",2019-03-05,2019-03-05 21:55:12,2,"energy"
"70","qeh36q67",2019-03-06,2019-03-06 22:45:18,2,"energy"
"71","qeh36q67",2019-02-14,2019-02-14 09:07:39,4,"sleep"
"72","qeh36q67",2019-02-15,2019-02-15 10:09:37,7,"sleep"
"73","qeh36q67",2019-02-18,2019-02-18 09:01:31,7,"sleep"
"74","qeh36q67",2019-02-19,2019-02-19 09:40:53,3,"sleep"
"75","qeh36q67",2019-02-20,2019-02-20 10:40:40,6,"sleep"
"76","qeh36q67",2019-02-21,2019-02-21 10:17:00,8,"sleep"
"77","qeh36q67",2019-02-22,2019-02-22 10:13:22,7,"sleep"
"78","qeh36q67",2019-02-26,2019-02-26 10:20:25,6,"sleep"
"79","qeh36q67",2019-03-04,2019-03-04 09:04:14,6,"sleep"
"80","qeh36q67",2019-03-05,2019-03-05 10:15:36,6,"sleep"
"81","qeh36q67",2019-02-14,2019-02-14 09:07:39,1,"refreshed"
"82","qeh36q67",2019-02-15,2019-02-15 10:09:37,2,"refreshed"
"83","qeh36q67",2019-02-17,2019-02-17 09:31:00,2,"refreshed"
"84","qeh36q67",2019-02-18,2019-02-18 09:01:31,0,"refreshed"
"85","qeh36q67",2019-02-19,2019-02-19 09:40:53,2,"refreshed"
"86","qeh36q67",2019-02-20,2019-02-20 10:40:40,2,"refreshed"
"87","qeh36q67",2019-02-21,2019-02-21 10:17:00,3,"refreshed"
"88","qeh36q67",2019-02-22,2019-02-22 10:13:22,1,"refreshed"
"89","qeh36q67",2019-02-26,2019-02-26 10:20:25,2,"refreshed"
"90","qeh36q67",2019-02-27,2019-02-27 10:51:48,2,"refreshed"
"91","qeh36q67",2019-03-03,2019-03-03 10:32:36,2,"refreshed"
"92","qeh36q67",2019-03-04,2019-03-04 09:04:14,2,"refreshed"
"93","qeh36q67",2019-03-05,2019-03-05 10:15:36,2,"refreshed"
"94","qeh36q67",2019-03-06,2019-03-06 10:42:54,2,"refreshed"
"95","qeh36q67",2019-02-14,2019-02-14 09:07:39,1,"restful"
"96","qeh36q67",2019-02-15,2019-02-15 10:09:37,2,"restful"
"97","qeh36q67",2019-02-17,2019-02-17 09:31:00,2,"restful"
"98","qeh36q67",2019-02-18,2019-02-18 09:01:31,1,"restful"
"99","qeh36q67",2019-02-19,2019-02-19 09:40:53,2,"restful"
"100","qeh36q67",2019-02-20,2019-02-20 10:40:40,3,"restful"
"101","qeh36q67",2019-02-21,2019-02-21 10:17:00,3,"restful"
"102","qeh36q67",2019-02-22,2019-02-22 10:13:22,2,"restful"
"103","qeh36q67",2019-02-26,2019-02-26 10:20:25,2,"restful"
"104","qeh36q67",2019-02-27,2019-02-27 10:51:48,2,"restful"
"105","qeh36q67",2019-03-03,2019-03-03 10:32:36,2,"restful"
"106","qeh36q67",2019-03-04,2019-03-04 09:04:14,2,"restful"
"107","qeh36q67",2019-03-05,2019-03-05 10:15:36,2,"restful"
"108","qeh36q67",2019-03-06,2019-03-06 10:42:54,2,"restful"
