"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","qeh36q67",2019-02-14 09:07:39,0,1,2,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person]"
"2","qeh36q67",2019-02-14 12:29:01,0,2,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"3","qeh36q67",2019-02-14 15:15:37,0,1,2,0,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"4","qeh36q67",2019-02-14 18:00:48,0,1,2,0,1,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"5","qeh36q67",2019-02-15 10:09:37,0,2,1,0,2,"[Vehicle]","[None of the above; Other]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"6","qeh36q67",2019-02-15 12:40:24,0,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"7","qeh36q67",2019-02-15 15:03:20,0,2,1,0,1,"[Campus;Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"8","qeh36q67",2019-02-16 16:09:53,0,1,2,0,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media]","[Talking in person]"
"9","qeh36q67",2019-02-16 19:07:23,0,1,2,0,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media;Watching TV; movies]","[Talking in person]"
"10","qeh36q67",2019-02-17 15:00:50,0,1,2,0,2,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies]","[Talking in person]"
"11","qeh36q67",2019-02-17 18:39:47,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"12","qeh36q67",2019-02-18 09:01:31,0,1,2,0,1,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"13","qeh36q67",2019-02-18 12:16:20,0,1,2,0,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"14","qeh36q67",2019-02-18 15:57:01,0,1,1,0,1,"[Campus;Library]","[Classmates; students;No one; alone]","[Attending classes; meetings;Commuting; traveling;Studying; reading; preparing for an exam]","[Talking in person;Not applicable; was not interacting with anyone]"
"15","qeh36q67",2019-02-18 18:00:44,0,2,1,0,1,"[Campus;Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"16","qeh36q67",2019-02-19 09:40:53,0,2,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"17","qeh36q67",2019-02-19 13:54:34,0,2,1,0,2,"[Campus]","[Friends]","[Attending classes; meetings]","[Talking in person]"
"18","qeh36q67",2019-02-19 15:50:10,0,2,1,0,2,"[Campus;Library]","[No one; alone]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"19","qeh36q67",2019-02-20 10:40:40,0,1,2,0,3,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"20","qeh36q67",2019-02-20 15:18:44,0,2,1,0,2,"[Campus]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"21","qeh36q67",2019-02-21 10:17:00,0,0,3,0,4,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"22","qeh36q67",2019-02-22 10:13:22,0,1,2,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"23","qeh36q67",2019-02-22 13:24:13,0,1,2,0,2,"[Campus]","[Strangers]","[Attending classes; meetings]","[Talking in person]"
"24","qeh36q67",2019-02-25 12:09:06,0,2,1,0,2,"[Campus;Library]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Commuting; traveling;Studying; reading; preparing for an exam]","[Talking in person]"
"25","qeh36q67",2019-02-25 16:16:43,0,2,1,0,2,"[Campus;Library]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Commuting; traveling;Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"26","qeh36q67",2019-02-26 10:20:25,0,1,2,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"27","qeh36q67",2019-02-26 12:28:57,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"28","qeh36q67",2019-02-26 15:46:36,0,1,2,0,2,"[Campus;Library]","[No one; alone]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"29","qeh36q67",2019-02-27 10:51:48,0,1,2,0,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"30","qeh36q67",2019-02-27 13:05:46,0,1,2,0,2,"[Campus]","[Strangers]","[Commuting; traveling]","[Talking in person]"
"31","qeh36q67",2019-02-27 18:48:19,0,2,1,0,1,"[Campus;Library]","[Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"32","qeh36q67",2019-02-28 12:05:16,0,2,1,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"33","qeh36q67",2019-03-01 13:33:28,0,1,2,0,2,"[Campus;Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"34","qeh36q67",2019-03-01 15:49:54,0,1,2,0,2,"[Campus;Library]","[Friends;No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone]"
"35","qeh36q67",2019-03-01 18:50:43,0,1,2,0,2,"[Campus]","[Friends]","[Commuting; traveling]","[Talking in person]"
"36","qeh36q67",2019-03-02 13:46:23,0,1,2,0,2,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies]","[Talking in person]"
"37","qeh36q67",2019-03-02 18:42:47,0,1,2,2,1,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person]"
"38","qeh36q67",2019-03-03 13:29:52,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"39","qeh36q67",2019-03-03 15:26:33,0,0,3,0,2,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies]","[Talking in person]"
"40","qeh36q67",2019-03-03 19:33:02,0,1,2,0,2,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies]","[Talking in person]"
"41","qeh36q67",2019-03-04 09:04:14,0,2,1,0,2,"[Campus]","[No one; alone]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"42","qeh36q67",2019-03-04 12:10:36,0,1,3,0,2,"[Cafe; Restaurant]","[Strangers]","[Eating; drinking]","[Talking in person]"
"43","qeh36q67",2019-03-04 16:22:34,0,1,2,0,2,"[Campus;Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"44","qeh36q67",2019-03-04 18:16:49,0,1,2,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person]"
"45","qeh36q67",2019-03-05 10:15:36,0,1,2,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"46","qeh36q67",2019-03-05 12:29:49,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"47","qeh36q67",2019-03-05 15:18:32,0,2,1,0,2,"[Campus;Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
