"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","qf7slfhy",2019-02-14 12:42:57,0,0,3,0,4,"[Campus;Library]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings;Commuting; traveling;Studying; reading; preparing for an exam]","[Talking in person]"
"2","qf7slfhy",2019-02-14 15:06:53,0,0,3,0,4,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person]"
"3","qf7slfhy",2019-02-14 18:01:26,0,0,3,0,4,"[Campus;Gym]","[Strangers]","[Eating; drinking;Exercising; physical activity; sports]","[Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"4","qf7slfhy",2019-02-15 11:23:12,0,0,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Interacting on Instagram;Interacting on Snapchat]"
"5","qf7slfhy",2019-02-15 13:25:10,0,0,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"6","qf7slfhy",2019-02-15 17:01:18,0,0,3,0,4,"[None of the above; Other]","[Co-workers]","[Studying; reading; preparing for an exam;Working at job]","[Talking in person]"
"7","qf7slfhy",2019-02-15 20:05:16,0,0,3,0,4,"[Friend's house]","[Friends]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Talking in person]"
"8","qf7slfhy",2019-02-16 19:54:36,0,0,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Talking in person]"
"9","qf7slfhy",2019-02-17 13:04:41,0,0,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking in person]"
"10","qf7slfhy",2019-02-17 19:33:31,0,0,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking in person]"
"11","qf7slfhy",2019-02-18 17:28:29,0,0,3,0,4,"[None of the above; Other]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person]"
"12","qf7slfhy",2019-02-20 19:53:39,0,0,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"13","qf7slfhy",2019-02-21 13:14:22,0,0,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person]"
"14","qf7slfhy",2019-02-22 20:25:07,0,0,3,0,4,"[Home (dorm; apartment);None of the above; Other]","[None of the above; Other]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"15","qf7slfhy",2019-02-23 20:46:51,0,0,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"16","qf7slfhy",2019-02-24 17:14:32,0,0,3,0,4,"[Store / Mall]","[Friends]","[None of the above; Other]","[Talking in person]"
"17","qf7slfhy",2019-02-26 17:31:53,0,0,3,0,4,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"18","qf7slfhy",2019-02-28 12:54:20,0,0,3,0,4,"[Campus]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"19","qf7slfhy",2019-03-01 20:01:48,0,0,3,0,4,"[Home (dorm; apartment)]","[None of the above; Other]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"20","qf7slfhy",2019-03-04 19:38:13,0,0,3,0,4,"[Campus]","[Friends]","[Eating; drinking]","[Talking in person]"
"21","qf7slfhy",2019-03-05 11:14:19,0,0,3,0,4,"[Campus]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
