"","pid","survey.date","local.time","answer","variable"
"1","qu2vxdkf",2019-02-14,2019-02-14 21:08:11,0,"sad"
"2","qu2vxdkf",2019-02-15,2019-02-15 21:12:45,0,"sad"
"3","qu2vxdkf",2019-02-16,2019-02-16 21:09:44,0,"sad"
"4","qu2vxdkf",2019-02-17,2019-02-17 23:55:25,0,"sad"
"5","qu2vxdkf",2019-02-18,2019-02-18 23:03:48,1,"sad"
"6","qu2vxdkf",2019-02-19,2019-02-20 00:07:42,0,"sad"
"7","qu2vxdkf",2019-02-20,2019-02-20 22:42:04,0,"sad"
"8","qu2vxdkf",2019-02-21,2019-02-21 22:05:51,1,"sad"
"9","qu2vxdkf",2019-02-22,2019-02-22 21:01:14,0,"sad"
"10","qu2vxdkf",2019-02-23,2019-02-23 21:26:38,0,"sad"
"11","qu2vxdkf",2019-02-24,2019-02-24 21:52:04,0,"sad"
"12","qu2vxdkf",2019-02-25,2019-02-25 21:43:02,0,"sad"
"13","qu2vxdkf",2019-02-26,2019-02-26 21:14:35,0,"sad"
"14","qu2vxdkf",2019-02-27,2019-02-27 21:06:11,0,"sad"
"15","qu2vxdkf",2019-02-28,2019-02-28 22:15:06,0,"sad"
"16","qu2vxdkf",2019-03-01,2019-03-01 21:46:32,0,"sad"
"17","qu2vxdkf",2019-03-02,2019-03-02 21:12:05,0,"sad"
"18","qu2vxdkf",2019-03-03,2019-03-03 21:23:04,0,"sad"
"19","qu2vxdkf",2019-03-04,2019-03-04 21:27:13,0,"sad"
"20","qu2vxdkf",2019-03-05,2019-03-05 21:56:08,0,"sad"
"21","qu2vxdkf",2019-03-06,2019-03-06 21:09:01,0,"sad"
"22","qu2vxdkf",2019-03-07,2019-03-07 22:01:55,0,"sad"
"23","qu2vxdkf",2019-02-14,2019-02-14 21:08:11,2,"stress"
"24","qu2vxdkf",2019-02-15,2019-02-15 21:12:45,1,"stress"
"25","qu2vxdkf",2019-02-16,2019-02-16 21:09:44,1,"stress"
"26","qu2vxdkf",2019-02-17,2019-02-17 23:55:25,2,"stress"
"27","qu2vxdkf",2019-02-18,2019-02-18 23:03:48,2,"stress"
"28","qu2vxdkf",2019-02-19,2019-02-20 00:07:42,2,"stress"
"29","qu2vxdkf",2019-02-20,2019-02-20 22:42:04,0,"stress"
"30","qu2vxdkf",2019-02-21,2019-02-21 22:05:51,1,"stress"
"31","qu2vxdkf",2019-02-22,2019-02-22 21:01:14,1,"stress"
"32","qu2vxdkf",2019-02-23,2019-02-23 21:26:38,0,"stress"
"33","qu2vxdkf",2019-02-24,2019-02-24 21:52:04,0,"stress"
"34","qu2vxdkf",2019-02-25,2019-02-25 21:43:02,1,"stress"
"35","qu2vxdkf",2019-02-26,2019-02-26 21:14:35,1,"stress"
"36","qu2vxdkf",2019-02-27,2019-02-27 21:06:11,1,"stress"
"37","qu2vxdkf",2019-02-28,2019-02-28 22:15:06,1,"stress"
"38","qu2vxdkf",2019-03-01,2019-03-01 21:46:32,1,"stress"
