"","pid","survey.date","local.time","answer","variable"
"1","qxi5iv56",2019-02-14,2019-02-14 23:09:34,0,"sad"
"2","qxi5iv56",2019-02-15,2019-02-16 11:06:57,0,"sad"
"3","qxi5iv56",2019-02-16,2019-02-17 00:27:44,0,"sad"
"4","qxi5iv56",2019-02-17,2019-02-17 21:57:12,0,"sad"
"5","qxi5iv56",2019-02-18,2019-02-18 21:01:41,0,"sad"
"6","qxi5iv56",2019-02-20,2019-02-20 21:58:58,0,"sad"
"7","qxi5iv56",2019-02-21,2019-02-21 21:09:59,0,"sad"
"8","qxi5iv56",2019-02-25,2019-02-25 21:01:20,1,"sad"
"9","qxi5iv56",2019-02-26,2019-02-27 01:14:03,2,"sad"
"10","qxi5iv56",2019-02-27,2019-02-27 23:53:06,0,"sad"
"11","qxi5iv56",2019-03-01,2019-03-01 22:00:38,0,"sad"
"12","qxi5iv56",2019-03-02,2019-03-02 22:42:04,0,"sad"
"13","qxi5iv56",2019-03-03,2019-03-04 09:53:12,0,"sad"
"14","qxi5iv56",2019-03-04,2019-03-05 00:12:41,0,"sad"
"15","qxi5iv56",2019-03-05,2019-03-05 21:09:54,2,"sad"
"16","qxi5iv56",2019-03-06,2019-03-07 10:57:38,0,"sad"
"17","qxi5iv56",2019-03-07,2019-03-07 23:45:20,0,"sad"
"18","qxi5iv56",2019-03-08,2019-03-09 00:05:32,0,"sad"
"19","qxi5iv56",2019-03-10,2019-03-11 09:22:19,0,"sad"
"20","qxi5iv56",2019-02-14,2019-02-14 23:09:34,1,"stress"
"21","qxi5iv56",2019-02-15,2019-02-16 11:06:57,0,"stress"
"22","qxi5iv56",2019-02-16,2019-02-17 00:27:44,0,"stress"
"23","qxi5iv56",2019-02-17,2019-02-17 21:57:12,1,"stress"
"24","qxi5iv56",2019-02-18,2019-02-18 21:01:41,1,"stress"
"25","qxi5iv56",2019-02-20,2019-02-20 21:58:58,0,"stress"
"26","qxi5iv56",2019-02-21,2019-02-21 21:09:59,1,"stress"
"27","qxi5iv56",2019-02-25,2019-02-25 21:01:20,1,"stress"
"28","qxi5iv56",2019-02-26,2019-02-27 01:14:03,2,"stress"
"29","qxi5iv56",2019-02-27,2019-02-27 23:53:06,1,"stress"
"30","qxi5iv56",2019-03-01,2019-03-01 22:00:38,0,"stress"
"31","qxi5iv56",2019-03-02,2019-03-02 22:42:04,1,"stress"
"32","qxi5iv56",2019-03-03,2019-03-04 09:53:12,1,"stress"
"33","qxi5iv56",2019-03-04,2019-03-05 00:12:41,2,"stress"
"34","qxi5iv56",2019-03-05,2019-03-05 21:09:54,1,"stress"
"35","qxi5iv56",2019-03-06,2019-03-07 10:57:38,1,"stress"
"36","qxi5iv56",2019-03-07,2019-03-07 23:45:20,1,"stress"
"37","qxi5iv56",2019-03-08,2019-03-09 00:05:32,1,"stress"
"38","qxi5iv56",2019-03-10,2019-03-11 09:22:19,1,"stress"
"39","qxi5iv56",2019-02-14,2019-02-14 23:09:34,2,"content"
"40","qxi5iv56",2019-02-15,2019-02-16 11:06:57,2,"content"
"41","qxi5iv56",2019-02-16,2019-02-17 00:27:44,2,"content"
"42","qxi5iv56",2019-02-17,2019-02-17 21:57:12,2,"content"
"43","qxi5iv56",2019-02-18,2019-02-18 21:01:41,2,"content"
"44","qxi5iv56",2019-02-20,2019-02-20 21:58:58,2,"content"
"45","qxi5iv56",2019-02-21,2019-02-21 21:09:59,2,"content"
"46","qxi5iv56",2019-02-25,2019-02-25 21:01:20,2,"content"
"47","qxi5iv56",2019-02-26,2019-02-27 01:14:03,2,"content"
"48","qxi5iv56",2019-02-27,2019-02-27 23:53:06,3,"content"
"49","qxi5iv56",2019-03-01,2019-03-01 22:00:38,3,"content"
"50","qxi5iv56",2019-03-02,2019-03-02 22:42:04,2,"content"
"51","qxi5iv56",2019-03-03,2019-03-04 09:53:12,2,"content"
"52","qxi5iv56",2019-03-04,2019-03-05 00:12:41,3,"content"
"53","qxi5iv56",2019-03-05,2019-03-05 21:09:54,1,"content"
"54","qxi5iv56",2019-03-06,2019-03-07 10:57:38,2,"content"
"55","qxi5iv56",2019-03-07,2019-03-07 23:45:20,3,"content"
"56","qxi5iv56",2019-03-08,2019-03-09 00:05:32,3,"content"
"57","qxi5iv56",2019-03-10,2019-03-11 09:22:19,2,"content"
"58","qxi5iv56",2019-02-14,2019-02-14 23:09:34,0,"lonely"
"59","qxi5iv56",2019-02-15,2019-02-16 11:06:57,0,"lonely"
"60","qxi5iv56",2019-02-16,2019-02-17 00:27:44,2,"lonely"
"61","qxi5iv56",2019-02-17,2019-02-17 21:57:12,0,"lonely"
"62","qxi5iv56",2019-02-18,2019-02-18 21:01:41,0,"lonely"
"63","qxi5iv56",2019-02-20,2019-02-20 21:58:58,0,"lonely"
"64","qxi5iv56",2019-02-21,2019-02-21 21:09:59,0,"lonely"
"65","qxi5iv56",2019-02-25,2019-02-25 21:01:20,1,"lonely"
"66","qxi5iv56",2019-02-26,2019-02-27 01:14:03,1,"lonely"
"67","qxi5iv56",2019-02-27,2019-02-27 23:53:06,0,"lonely"
"68","qxi5iv56",2019-03-01,2019-03-01 22:00:38,0,"lonely"
"69","qxi5iv56",2019-03-02,2019-03-02 22:42:04,0,"lonely"
"70","qxi5iv56",2019-03-03,2019-03-04 09:53:12,0,"lonely"
"71","qxi5iv56",2019-03-04,2019-03-05 00:12:41,0,"lonely"
"72","qxi5iv56",2019-03-05,2019-03-05 21:09:54,0,"lonely"
"73","qxi5iv56",2019-03-06,2019-03-07 10:57:38,0,"lonely"
"74","qxi5iv56",2019-03-07,2019-03-07 23:45:20,0,"lonely"
"75","qxi5iv56",2019-03-08,2019-03-09 00:05:32,0,"lonely"
"76","qxi5iv56",2019-03-10,2019-03-11 09:22:19,0,"lonely"
"77","qxi5iv56",2019-02-14,2019-02-14 23:09:34,2,"energy"
"78","qxi5iv56",2019-02-15,2019-02-16 11:06:57,2,"energy"
"79","qxi5iv56",2019-02-16,2019-02-17 00:27:44,2,"energy"
"80","qxi5iv56",2019-02-17,2019-02-17 21:57:12,1,"energy"
"81","qxi5iv56",2019-02-18,2019-02-18 21:01:41,2,"energy"
"82","qxi5iv56",2019-02-20,2019-02-20 21:58:58,3,"energy"
"83","qxi5iv56",2019-02-21,2019-02-21 21:09:59,2,"energy"
"84","qxi5iv56",2019-02-25,2019-02-25 21:01:20,2,"energy"
"85","qxi5iv56",2019-02-26,2019-02-27 01:14:03,2,"energy"
"86","qxi5iv56",2019-02-27,2019-02-27 23:53:06,3,"energy"
"87","qxi5iv56",2019-03-01,2019-03-01 22:00:38,1,"energy"
"88","qxi5iv56",2019-03-02,2019-03-02 22:42:04,1,"energy"
"89","qxi5iv56",2019-03-03,2019-03-04 09:53:12,2,"energy"
"90","qxi5iv56",2019-03-04,2019-03-05 00:12:41,2,"energy"
