"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","rkd15kg7",2019-02-15 14:17:10,0,1,2,0,1,"[Work]","[Co-workers]","[Working at job]","[Talking in person]"
"2","rkd15kg7",2019-02-15 15:17:12,1,2,2,1,1,"[Campus]","[Strangers]","[None of the above; Other]","[Talking in person]"
"3","rkd15kg7",2019-02-17 10:38:56,1,1,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"4","rkd15kg7",2019-02-17 12:15:57,1,1,2,0,1,"[Vehicle]","[Friends]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Talking in person;Interacting on Twitter]"
"5","rkd15kg7",2019-02-17 15:06:43,1,1,0,1,1,"[Library]","[Friends;Strangers]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"6","rkd15kg7",2019-02-17 19:07:18,1,2,1,1,1,"[None of the above; Other]","[Friends]","[None of the above; Other]","[Talking in person]"
"7","rkd15kg7",2019-02-18 12:51:38,1,1,1,1,1,"[Work]","[Classmates; students;Co-workers]","[Attending classes; meetings]","[Talking in person]"
"8","rkd15kg7",2019-02-19 09:01:46,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"9","rkd15kg7",2019-02-19 12:29:29,2,3,0,2,2,"[Campus]","[No one; alone;Strangers]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"10","rkd15kg7",2019-02-19 16:19:10,1,0,1,1,1,"[Campus]","[None of the above; Other]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"11","rkd15kg7",2019-02-19 19:21:11,1,1,1,1,2,"[Vehicle]","[Strangers;None of the above; Other]","[Commuting; traveling]","[Interacting on Twitter]"
"12","rkd15kg7",2019-02-20 12:59:31,1,1,1,1,1,"[Work]","[Classmates; students;Co-workers]","[Working at job]","[Talking in person]"
"13","rkd15kg7",2019-02-20 17:43:03,1,2,1,1,1,"[Home (dorm; apartment)]","[Strangers;None of the above; Other]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"14","rkd15kg7",2019-02-21 09:03:29,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"15","rkd15kg7",2019-02-21 12:24:47,1,1,1,1,2,"[Campus]","[Strangers]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"16","rkd15kg7",2019-02-21 15:46:35,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"17","rkd15kg7",2019-02-22 09:01:10,1,3,1,1,2,"[Home (dorm; apartment);Vehicle]","[No one; alone;Strangers]","[Browsing the Internet; using social media;Commuting; traveling;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone]"
"18","rkd15kg7",2019-02-22 15:39:27,1,1,1,0,1,"[Home (dorm; apartment)]","[Friends;Roommates]","[Eating; drinking;Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone]"
"19","rkd15kg7",2019-02-23 10:26:33,1,3,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
