"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","sefz2pwg",2019-02-15 19:47:05,2,2,2,2,1,"[Home (dorm; apartment)]","[Friends]","[None of the above; Other]","[Talking in person]"
"2","sefz2pwg",2019-02-19 14:55:23,0,3,2,0,3,"[Friend's house]","[Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"3","sefz2pwg",2019-02-21 13:14:39,1,2,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"4","sefz2pwg",2019-02-21 18:01:11,2,1,2,1,1,"[None of the above; Other]","[None of the above; Other]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"5","sefz2pwg",2019-02-22 16:39:13,1,1,2,1,3,"[Friend's house;Home (dorm; apartment)]","[Classmates; students;Friends]","[Resting; napping; doing nothing]","[Talking in person]"
"6","sefz2pwg",2019-02-24 17:29:53,2,2,2,1,3,"[Home (dorm; apartment)]","[None of the above; Other]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"7","sefz2pwg",2019-02-25 19:49:43,1,2,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"8","sefz2pwg",2019-02-27 16:44:30,1,2,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"9","sefz2pwg",2019-03-01 11:12:12,1,2,2,1,3,"[Home (dorm; apartment)]","[Friends;None of the above; Other]","[Studying; reading; preparing for an exam]","[Talking in person]"
"10","sefz2pwg",2019-03-06 13:52:04,1,1,2,1,3,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"11","sefz2pwg",2019-03-12 13:51:56,1,2,3,2,4,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
